currency,ticker,date,open_price,high,low,close_price,volume,market_cap
BNB,BNB,"Feb 26, 2022",$374.89,$385.21,$371.48,$373.64,"$1,319,208,551","$61,694,020,170"
BNB,BNB,"Feb 25, 2022",$361.22,$376.80,$357.37,$374.91,"$1,839,035,023","$61,904,739,647"
BNB,BNB,"Feb 24, 2022",$366.35,$368.17,$324.48,$361.23,"$2,972,951,900","$59,645,892,983"
BNB,BNB,"Feb 23, 2022",$374.30,$383.25,$366.54,$366.54,"$1,644,707,704","$60,521,812,716"
BNB,BNB,"Feb 22, 2022",$356.73,$374.86,$350.15,$374.31,"$2,037,210,077","$61,804,434,179"
BNB,BNB,"Feb 21, 2022",$380.74,$393.62,$356.18,$356.66,"$2,164,511,484","$58,890,751,692"
BNB,BNB,"Feb 20, 2022",$400.00,$400.13,$376.01,$380.83,"$1,431,745,519","$62,880,741,279"
BNB,BNB,"Feb 19, 2022",$399.52,$406.38,$393.93,$400.04,"$1,192,395,484","$66,053,898,767"
BNB,BNB,"Feb 18, 2022",$402.65,$410.94,$393.82,$399.57,"$1,554,511,893","$65,975,568,167"
BNB,BNB,"Feb 17, 2022",$427.55,$431.02,$400.81,$402.45,"$1,644,013,199","$66,451,246,799"
BNB,BNB,"Feb 16, 2022",$432.49,$433.43,$423.08,$427.92,"$1,670,788,158","$70,656,455,985"
BNB,BNB,"Feb 15, 2022",$403.66,$436.25,$403.09,$432.41,"$2,538,883,559","$71,398,038,456"
BNB,BNB,"Feb 14, 2022",$398.64,$403.93,$391.38,$403.66,"$1,269,083,662","$66,651,161,136"
BNB,BNB,"Feb 13, 2022",$403.27,$406.71,$395.66,$398.89,"$1,151,509,777","$65,862,892,979"
BNB,BNB,"Feb 12, 2022",$400.50,$407.14,$394.80,$403.39,"$1,372,516,416","$66,606,405,568"
BNB,BNB,"Feb 11, 2022",$415.19,$419.29,$393.98,$400.42,"$1,714,654,174","$66,116,449,646"
BNB,BNB,"Feb 10, 2022",$422.51,$434.17,$411.25,$415.12,"$2,037,888,603","$68,543,142,480"
