currency,ticker,date,open_price,high,low,close_price,volume,market_cap
Bitcoin,BTC,"Feb 26, 2022","$39,213.08","$40,005.35","$38,702.53","$39,105.15","$17,467,554,129","$741,789,694,059"
Bitcoin,BTC,"Feb 25, 2022","$38,333.75","$39,630.32","$38,111.34","$39,214.22","$26,545,599,159","$743,827,806,938"
Bitcoin,BTC,"Feb 24, 2022","$37,278.57","$38,968.84","$34,459.22","$38,332.61","$46,383,802,093","$727,072,550,320"
Bitcoin,BTC,"Feb 23, 2022","$38,285.28","$39,122.39","$37,201.82","$37,296.57","$21,849,073,843","$707,390,766,255"
Bitcoin,BTC,"Feb 22, 2022","$37,068.77","$38,359.85","$36,488.93","$38,286.03","$25,493,150,450","$726,121,533,658"
Bitcoin,BTC,"Feb 21, 2022","$38,423.21","$39,394.44","$36,950.48","$37,075.28","$29,280,402,798","$703,124,071,472"
Bitcoin,BTC,"Feb 20, 2022","$40,118.10","$40,119.89","$38,112.81","$38,431.38","$18,340,576,452","$728,812,385,562"
Bitcoin,BTC,"Feb 19, 2022","$40,026.02","$40,418.88","$39,713.06","$40,122.15","$13,736,557,863","$760,839,429,984"
Bitcoin,BTC,"Feb 18, 2022","$40,552.13","$40,929.15","$39,637.62","$40,030.98","$23,310,007,704","$759,074,084,514"
Bitcoin,BTC,"Feb 17, 2022","$43,937.07","$44,132.97","$40,249.37","$40,538.01","$26,246,662,813","$768,654,436,207"
Bitcoin,BTC,"Feb 16, 2022","$44,578.28","$44,578.28","$43,456.69","$43,961.86","$19,792,547,657","$833,531,932,920"
Bitcoin,BTC,"Feb 15, 2022","$42,586.46","$44,667.22","$42,491.03","$44,575.20","$22,721,659,051","$845,117,683,687"
Bitcoin,BTC,"Feb 14, 2022","$42,157.40","$42,775.78","$41,681.96","$42,586.92","$20,827,783,012","$807,375,855,006"
Bitcoin,BTC,"Feb 13, 2022","$42,236.57","$42,693.05","$41,950.94","$42,197.52","$14,741,589,015","$799,950,408,997"
Bitcoin,BTC,"Feb 12, 2022","$42,412.30","$42,992.55","$41,852.57","$42,244.47","$18,152,390,304","$800,797,790,301"
Bitcoin,BTC,"Feb 11, 2022","$43,571.13","$43,810.83","$42,114.54","$42,407.94","$26,954,925,781","$803,848,273,503"
Bitcoin,BTC,"Feb 10, 2022","$44,347.80","$45,661.17","$43,402.81","$43,565.11","$32,142,048,537","$825,745,116,530"
Bitcoin,BTC,"Feb 09, 2022","$44,096.70","$44,727.80","$43,232.97","$44,338.80","$23,245,887,300","$840,369,284,541"
Bitcoin,BTC,"Feb 08, 2022","$43,854.65","$45,293.87","$42,807.84","$44,118.45","$33,079,398,868","$836,154,543,908"
Bitcoin,BTC,"Feb 07, 2022","$42,406.78","$44,401.86","$41,748.16","$43,840.29","$28,641,855,926","$830,838,884,165"
Bitcoin,BTC,"Feb 06, 2022","$41,441.12","$42,500.79","$41,244.91","$42,412.43","$16,142,097,334","$803,744,511,638"
Bitcoin,BTC,"Feb 05, 2022","$41,501.48","$41,847.16","$41,038.10","$41,441.16","$19,652,846,215","$785,297,889,648"
Bitcoin,BTC,"Feb 04, 2022","$37,149.26","$41,527.79","$37,093.63","$41,500.88","$29,412,210,792","$786,396,684,548"
Bitcoin,BTC,"Feb 03, 2022","$36,944.81","$37,154.60","$36,375.54","$37,154.60","$18,591,534,769","$704,010,232,687"
Bitcoin,BTC,"Feb 02, 2022","$38,743.71","$38,834.62","$36,832.73","$36,952.98","$19,155,189,416","$700,155,817,836"
Bitcoin,BTC,"Feb 01, 2022","$38,481.77","$39,115.13","$38,113.66","$38,743.27","$20,288,500,328","$734,039,224,255"
Bitcoin,BTC,"Jan 31, 2022","$37,920.28","$38,647.26","$36,733.57","$38,483.13","$20,734,730,465","$729,073,641,688"
Bitcoin,BTC,"Jan 30, 2022","$38,151.92","$38,266.34","$37,437.71","$37,917.60","$14,643,548,444","$718,325,967,803"
Bitcoin,BTC,"Jan 29, 2022","$37,780.71","$38,576.26","$37,406.47","$38,138.18","$17,194,183,075","$722,469,136,410"
Bitcoin,BTC,"Jan 28, 2022","$37,128.44","$37,952.88","$36,211.11","$37,784.33","$22,238,830,523","$715,731,622,071"
Bitcoin,BTC,"Jan 27, 2022","$36,841.88","$37,148.32","$35,629.28","$37,138.23","$25,041,426,629","$703,456,873,493"
Bitcoin,BTC,"Jan 26, 2022","$36,950.51","$38,825.41","$36,374.91","$36,852.12","$31,324,598,034","$698,006,361,956"
Bitcoin,BTC,"Jan 25, 2022","$36,654.81","$37,444.57","$35,779.43","$36,954.00","$26,428,189,594","$699,907,393,886"
Bitcoin,BTC,"Jan 24, 2022","$36,275.73","$37,247.52","$33,184.06","$36,654.33","$41,856,658,597","$694,196,560,317"
Bitcoin,BTC,"Jan 23, 2022","$35,047.36","$36,433.31","$34,784.97","$36,276.80","$26,017,975,951","$687,012,848,062"
Bitcoin,BTC,"Jan 22, 2022","$36,471.59","$36,688.81","$34,349.25","$35,030.25","$39,714,385,405","$663,374,008,017"
Bitcoin,BTC,"Jan 21, 2022","$40,699.61","$41,060.53","$35,791.43","$36,457.32","$43,011,992,031","$690,368,973,093"
Bitcoin,BTC,"Jan 20, 2022","$41,744.03","$43,413.02","$40,672.82","$40,680.42","$20,382,033,940","$770,304,579,439"
Bitcoin,BTC,"Jan 19, 2022","$42,374.04","$42,478.30","$41,242.91","$41,744.33","$23,091,543,258","$790,406,427,118"
Bitcoin,BTC,"Jan 18, 2022","$42,250.07","$42,534.40","$41,392.22","$42,375.63","$22,417,209,227","$802,313,747,480"
Bitcoin,BTC,"Jan 17, 2022","$43,118.12","$43,179.39","$41,680.32","$42,250.55","$21,690,904,261","$799,910,089,279"
Bitcoin,BTC,"Jan 16, 2022","$43,172.04","$43,436.81","$42,691.02","$43,113.88","$17,902,097,845","$816,211,499,221"
Bitcoin,BTC,"Jan 15, 2022","$43,101.90","$43,724.67","$42,669.04","$43,177.40","$18,371,348,298","$817,364,571,824"
Bitcoin,BTC,"Jan 14, 2022","$42,598.87","$43,346.69","$41,982.62","$43,099.70","$23,577,403,399","$815,850,639,036"
Bitcoin,BTC,"Jan 13, 2022","$43,946.74","$44,278.42","$42,447.04","$42,591.57","$47,691,135,082","$806,189,762,638"
Bitcoin,BTC,"Jan 12, 2022","$42,742.18","$44,135.37","$42,528.99","$43,949.10","$33,499,938,689","$831,836,978,396"
Bitcoin,BTC,"Jan 11, 2022","$41,819.51","$43,001.16","$41,407.75","$42,735.85","$26,327,648,900","$808,834,801,011"
Bitcoin,BTC,"Jan 10, 2022","$41,910.23","$42,199.49","$39,796.57","$41,821.26","$32,104,232,331","$791,484,886,194"
Bitcoin,BTC,"Jan 09, 2022","$41,734.73","$42,663.95","$41,338.16","$41,911.60","$21,294,384,372","$793,156,354,744"
Bitcoin,BTC,"Jan 08, 2022","$41,561.47","$42,228.94","$40,672.28","$41,733.94","$28,066,355,845","$789,758,782,727"
Bitcoin,BTC,"Jan 07, 2022","$43,153.57","$43,153.57","$41,077.45","$41,557.90","$84,196,607,520","$786,389,774,194"
Bitcoin,BTC,"Jan 06, 2022","$43,565.51","$43,748.72","$42,645.54","$43,160.93","$30,208,048,289","$816,685,390,313"
Bitcoin,BTC,"Jan 05, 2022","$45,899.36","$46,929.05","$42,798.22","$43,569.00","$36,851,084,859","$824,368,284,530"
Bitcoin,BTC,"Jan 04, 2022","$46,458.85","$47,406.55","$45,752.46","$45,897.58","$42,494,677,905","$868,383,282,082"
Bitcoin,BTC,"Jan 03, 2022","$47,343.54","$47,510.73","$45,835.96","$46,458.12","$33,071,628,362","$878,946,596,803"
Bitcoin,BTC,"Jan 02, 2022","$47,680.93","$47,881.41","$46,856.94","$47,345.22","$27,951,569,547","$895,688,387,523"
Bitcoin,BTC,"Jan 01, 2022","$46,311.74","$47,827.31","$46,288.49","$47,686.81","$24,582,667,004","$902,104,193,385"
Bitcoin,BTC,"Dec 31, 2021","$47,169.37","$48,472.53","$45,819.95","$46,306.45","$36,974,172,400","$875,939,356,679"
Bitcoin,BTC,"Dec 30, 2021","$46,490.61","$47,879.97","$46,060.31","$47,178.13","$26,686,491,018","$892,386,327,929"
Bitcoin,BTC,"Dec 29, 2021","$47,623.87","$48,119.74","$46,201.49","$46,444.71","$30,049,226,299","$878,478,755,242"
