currency,ticker,date,open_price,high,low,close_price,volume,market_cap
Cronos,CRO,"Feb 26, 2022",$0.4179,$0.4263,$0.4118,$0.4138,"$90,351,075","$10,452,967,044"
Cronos,CRO,"Feb 25, 2022",$0.3945,$0.4209,$0.3945,$0.4179,"$132,609,761","$10,556,215,610"
Cronos,CRO,"Feb 24, 2022",$0.399,$0.4042,$0.3477,$0.3945,"$220,041,913","$9,965,362,895"
Cronos,CRO,"Feb 23, 2022",$0.404,$0.4199,$0.3963,$0.3994,"$125,535,148","$10,088,882,959"
Cronos,CRO,"Feb 22, 2022",$0.3859,$0.405,$0.3711,$0.404,"$135,762,941","$10,205,910,036"
Cronos,CRO,"Feb 21, 2022",$0.4045,$0.4203,$0.3849,$0.3859,"$146,932,635","$9,750,223,928"
Cronos,CRO,"Feb 20, 2022",$0.4368,$0.4393,$0.4029,$0.4046,"$110,537,230","$10,220,452,260"
Cronos,CRO,"Feb 19, 2022",$0.4352,$0.4494,$0.4344,$0.4368,"$94,871,141","$11,035,830,275"
Cronos,CRO,"Feb 18, 2022",$0.4298,$0.4572,$0.4276,$0.4353,"$170,287,754","$10,996,572,040"
Cronos,CRO,"Feb 17, 2022",$0.4796,$0.4832,$0.4278,$0.4297,"$147,199,196","$10,856,144,365"
Cronos,CRO,"Feb 16, 2022",$0.4956,$0.4956,$0.4746,$0.4798,"$117,307,800","$12,121,864,901"
Cronos,CRO,"Feb 15, 2022",$0.4705,$0.5019,$0.4644,$0.4956,"$169,259,668","$12,520,303,490"
Cronos,CRO,"Feb 14, 2022",$0.5042,$0.5055,$0.4636,$0.4705,"$224,983,356","$11,887,463,622"
Cronos,CRO,"Feb 13, 2022",$0.486,$0.5179,$0.4841,$0.5047,"$239,990,699","$12,749,364,799"
Cronos,CRO,"Feb 12, 2022",$0.4797,$0.496,$0.4759,$0.486,"$161,447,995","$12,278,439,326"
Cronos,CRO,"Feb 11, 2022",$0.5089,$0.5233,$0.4709,$0.4797,"$202,827,818","$12,119,257,080"
