currency,ticker,date,open_price,high,low,close_price,volume,market_cap
Dai,DAI,"Feb 26, 2022",$0.9997,$1.00,$0.999,$1.00,"$205,336,506","$9,659,728,725"
Dai,DAI,"Feb 25, 2022",$1.00,$1.00,$0.999,$0.9997,"$330,433,421","$9,670,567,963"
Dai,DAI,"Feb 24, 2022",$0.9995,$1.00,$0.998,$1.00,"$646,259,155","$9,885,095,532"
Dai,DAI,"Feb 23, 2022",$1.00,$1.00,$0.9985,$0.9995,"$334,297,814","$10,072,492,019"
Dai,DAI,"Feb 22, 2022",$0.9994,$1.00,$0.9983,$1.00,"$358,833,503","$10,099,648,611"
Dai,DAI,"Feb 21, 2022",$0.9994,$1.00,$0.9985,$0.9993,"$414,712,522","$10,155,953,509"
Dai,DAI,"Feb 20, 2022",$0.9997,$1.00,$0.9976,$0.9994,"$272,269,069","$10,181,659,739"
Dai,DAI,"Feb 19, 2022",$0.9995,$1.00,$0.9987,$0.9997,"$228,115,096","$10,203,791,470"
Dai,DAI,"Feb 18, 2022",$0.9991,$1.00,$0.9984,$0.9995,"$324,032,810","$10,184,581,563"
Dai,DAI,"Feb 17, 2022",$0.9991,$1.00,$0.9982,$0.9991,"$362,312,016","$10,213,715,784"
Dai,DAI,"Feb 16, 2022",$1.00,$1.00,$0.999,$0.9991,"$297,282,124","$10,296,291,595"
Dai,DAI,"Feb 15, 2022",$0.9997,$1.00,$0.9992,$1.00,"$343,475,775","$10,376,305,259"
Dai,DAI,"Feb 14, 2022",$0.9994,$1.00,$0.9988,$0.9997,"$244,726,133","$10,235,548,002"
Dai,DAI,"Feb 13, 2022",$0.9999,$1.00,$0.9988,$0.9994,"$181,115,043","$10,248,068,652"
Dai,DAI,"Feb 12, 2022",$1.00,$1.00,$0.9987,$0.9999,"$283,322,887","$10,253,604,989"
Dai,DAI,"Feb 11, 2022",$0.9991,$1.00,$0.9983,$1.00,"$460,902,599","$10,255,882,276"
Dai,DAI,"Feb 10, 2022",$0.9998,$1.00,$0.9986,$0.9991,"$463,814,426","$10,224,507,719"
Dai,DAI,"Feb 09, 2022",$0.9996,$1.00,$0.9991,$0.9999,"$319,686,505","$10,178,391,439"
Dai,DAI,"Feb 08, 2022",$1,$1.00,$0.9984,$0.9996,"$438,450,428","$10,079,582,914"
Dai,DAI,"Feb 07, 2022",$1.00,$1.00,$0.9992,$0.9999,"$399,544,172","$9,904,753,719"
Dai,DAI,"Feb 06, 2022",$0.9995,$1.00,$0.9992,$1.00,"$220,317,986","$9,769,608,818"
Dai,DAI,"Feb 05, 2022",$1.00,$1.00,$0.9989,$0.9995,"$362,682,891","$9,740,722,469"
Dai,DAI,"Feb 04, 2022",$1.00,$1.00,$0.9993,$1.00,"$344,473,090","$9,647,409,784"
Dai,DAI,"Feb 03, 2022",$0.9998,$1.00,$0.9989,$1.00,"$242,035,999","$9,613,310,907"
Dai,DAI,"Feb 02, 2022",$1.00,$1.00,$0.9988,$0.9998,"$255,058,310","$9,648,178,414"
Dai,DAI,"Feb 01, 2022",$1.00,$1.00,$0.999,$1.00,"$326,302,883","$9,627,763,706"
Dai,DAI,"Jan 31, 2022",$0.9998,$1.00,$0.999,$1.00,"$275,013,830","$9,596,144,801"
