currency,ticker,date,open_price,high,low,close_price,volume,market_cap
Dogecoin,DOGE,"Feb 26, 2022",$0.1276,$0.1301,$0.1262,$0.1276,"$535,575,654","$16,934,990,912"
Dogecoin,DOGE,"Feb 25, 2022",$0.1238,$0.1282,$0.121,$0.1276,"$805,161,073","$16,925,550,870"
Dogecoin,DOGE,"Feb 24, 2022",$0.1278,$0.1279,$0.1096,$0.1238,"$2,046,477,370","$16,426,325,929"
Dogecoin,DOGE,"Feb 23, 2022",$0.1316,$0.1353,$0.1278,$0.1278,"$587,472,906","$16,961,450,437"
Dogecoin,DOGE,"Feb 22, 2022",$0.1285,$0.1317,$0.1254,$0.1316,"$711,967,119","$17,453,195,149"
Dogecoin,DOGE,"Feb 21, 2022",$0.1368,$0.1413,$0.1282,$0.1285,"$913,773,124","$17,046,906,167"
Dogecoin,DOGE,"Feb 20, 2022",$0.1412,$0.1412,$0.1359,$0.1369,"$490,138,547","$18,158,368,479"
Dogecoin,DOGE,"Feb 19, 2022",$0.1388,$0.1459,$0.1388,$0.1412,"$655,782,652","$18,733,858,191"
Dogecoin,DOGE,"Feb 18, 2022",$0.1386,$0.1421,$0.137,$0.1388,"$563,817,289","$18,410,465,958"
Dogecoin,DOGE,"Feb 17, 2022",$0.149,$0.1499,$0.1381,$0.1386,"$721,382,126","$18,381,811,283"
Dogecoin,DOGE,"Feb 16, 2022",$0.1518,$0.1518,$0.1468,$0.1491,"$505,588,732","$19,780,608,769"
Dogecoin,DOGE,"Feb 15, 2022",$0.146,$0.1522,$0.1452,$0.1518,"$674,961,496","$20,134,237,626"
Dogecoin,DOGE,"Feb 14, 2022",$0.1489,$0.1501,$0.1436,$0.146,"$898,042,727","$19,370,268,897"
Dogecoin,DOGE,"Feb 13, 2022",$0.1444,$0.1574,$0.144,$0.1489,"$1,581,065,491","$19,761,029,254"
Dogecoin,DOGE,"Feb 12, 2022",$0.1449,$0.147,$0.1417,$0.1444,"$602,699,408","$19,158,278,829"
Dogecoin,DOGE,"Feb 11, 2022",$0.1519,$0.1541,$0.1433,$0.1448,"$776,730,555","$19,216,979,542"
Dogecoin,DOGE,"Feb 10, 2022",$0.1591,$0.1604,$0.1515,$0.1519,"$1,053,630,584","$20,151,243,811"
Dogecoin,DOGE,"Feb 09, 2022",$0.1584,$0.1607,$0.155,$0.1591,"$778,670,798","$21,110,912,244"
Dogecoin,DOGE,"Feb 08, 2022",$0.1656,$0.1691,$0.1537,$0.1584,"$1,190,116,000","$21,015,761,198"
Dogecoin,DOGE,"Feb 07, 2022",$0.1538,$0.1716,$0.1517,$0.1656,"$1,791,358,822","$21,967,396,206"
Dogecoin,DOGE,"Feb 06, 2022",$0.1471,$0.1548,$0.1453,$0.1538,"$757,004,142","$20,400,845,319"
Dogecoin,DOGE,"Feb 05, 2022",$0.1475,$0.1501,$0.1454,$0.1471,"$587,009,429","$19,521,265,248"
Dogecoin,DOGE,"Feb 04, 2022",$0.1375,$0.1476,$0.1373,$0.1475,"$580,740,990","$19,569,340,520"
Dogecoin,DOGE,"Feb 03, 2022",$0.1372,$0.1387,$0.1356,$0.1375,"$383,506,507","$18,247,613,017"
Dogecoin,DOGE,"Feb 02, 2022",$0.1426,$0.1453,$0.1369,$0.1372,"$483,194,691","$18,207,055,087"
Dogecoin,DOGE,"Feb 01, 2022",$0.1418,$0.1441,$0.1411,$0.1426,"$409,432,267","$18,922,976,039"
Dogecoin,DOGE,"Jan 31, 2022",$0.1395,$0.1423,$0.1369,$0.1418,"$412,307,174","$18,813,396,718"
Dogecoin,DOGE,"Jan 30, 2022",$0.1431,$0.1435,$0.1388,$0.1395,"$363,976,741","$18,503,745,857"
Dogecoin,DOGE,"Jan 29, 2022",$0.1416,$0.144,$0.1415,$0.1431,"$397,610,776","$18,979,306,846"
Dogecoin,DOGE,"Jan 28, 2022",$0.1412,$0.1424,$0.1384,$0.1417,"$506,667,466","$18,793,645,245"
Dogecoin,DOGE,"Jan 27, 2022",$0.1438,$0.145,$0.1369,$0.1412,"$608,707,586","$18,739,393,113"
Dogecoin,DOGE,"Jan 26, 2022",$0.143,$0.1526,$0.1422,$0.1438,"$1,253,108,115","$19,076,582,110"
Dogecoin,DOGE,"Jan 25, 2022",$0.1378,$0.1472,$0.1332,$0.143,"$1,347,567,750","$18,978,385,083"
Dogecoin,DOGE,"Jan 24, 2022",$0.1419,$0.142,$0.1272,$0.1378,"$1,446,873,574","$18,281,756,841"
Dogecoin,DOGE,"Jan 23, 2022",$0.133,$0.1431,$0.1328,$0.1419,"$1,006,234,946","$18,821,109,378"
