currency,ticker,date,open_price,high,low,close_price,volume,market_cap
Polkadot,DOT,"Feb 26, 2022",$17.25,$18.67,$17.22,$18.02,"$1,418,827,902","$17,800,681,672"
Polkadot,DOT,"Feb 25, 2022",$16.17,$17.41,$15.84,$17.25,"$1,228,501,074","$17,036,045,208"
Polkadot,DOT,"Feb 24, 2022",$16.00,$16.55,$14.14,$16.17,"$2,249,049,472","$15,970,062,776"
Polkadot,DOT,"Feb 23, 2022",$16.57,$17.40,$15.97,$16.01,"$1,280,516,751","$15,810,719,771"
Polkadot,DOT,"Feb 22, 2022",$16.19,$16.67,$15.84,$16.56,"$1,116,940,496","$16,358,536,727"
Polkadot,DOT,"Feb 21, 2022",$16.93,$17.70,$16.10,$16.19,"$1,330,919,934","$15,991,004,130"
Polkadot,DOT,"Feb 20, 2022",$17.88,$17.88,$16.74,$16.93,"$883,758,628","$16,720,220,594"
Polkadot,DOT,"Feb 19, 2022",$17.84,$18.21,$17.41,$17.89,"$590,901,300","$17,670,024,926"
Polkadot,DOT,"Feb 18, 2022",$18.13,$18.56,$17.71,$17.85,"$918,690,491","$17,624,044,527"
Polkadot,DOT,"Feb 17, 2022",$19.79,$19.99,$17.89,$18.11,"$1,081,608,217","$17,884,983,441"
Polkadot,DOT,"Feb 16, 2022",$20.15,$20.17,$19.12,$19.80,"$890,277,874","$19,555,210,854"
Polkadot,DOT,"Feb 15, 2022",$18.71,$20.27,$18.67,$20.14,"$891,617,857","$19,894,466,413"
Polkadot,DOT,"Feb 14, 2022",$18.81,$18.90,$18.08,$18.71,"$834,381,954","$18,482,304,643"
Polkadot,DOT,"Feb 13, 2022",$18.82,$19.26,$18.45,$18.83,"$741,039,938","$18,597,584,972"
Polkadot,DOT,"Feb 12, 2022",$18.97,$19.40,$18.39,$18.82,"$982,928,210","$18,584,998,263"
Polkadot,DOT,"Feb 11, 2022",$20.62,$20.72,$18.68,$18.96,"$1,383,736,959","$18,726,915,345"
Polkadot,DOT,"Feb 10, 2022",$21.93,$22.43,$20.60,$20.64,"$1,497,572,222","$20,378,752,051"
Polkadot,DOT,"Feb 09, 2022",$21.68,$22.21,$21.14,$21.93,"$952,902,519","$21,658,021,699"
Polkadot,DOT,"Feb 08, 2022",$22.37,$23.13,$21.11,$21.69,"$1,444,549,625","$21,419,754,153"
Polkadot,DOT,"Feb 07, 2022",$21.90,$22.65,$21.45,$22.36,"$1,356,167,813","$22,086,726,718"
Polkadot,DOT,"Feb 06, 2022",$21.37,$21.90,$20.92,$21.90,"$830,919,540","$21,631,280,300"
Polkadot,DOT,"Feb 05, 2022",$20.44,$22.25,$20.35,$21.37,"$1,265,231,134","$21,101,596,793"
Polkadot,DOT,"Feb 04, 2022",$18.81,$20.46,$18.75,$20.42,"$1,110,480,504","$20,170,974,812"
Polkadot,DOT,"Feb 03, 2022",$18.79,$18.84,$18.10,$18.81,"$906,875,219","$18,578,842,343"
Polkadot,DOT,"Feb 02, 2022",$19.62,$20.53,$18.72,$18.80,"$1,153,269,231","$18,563,427,018"
Polkadot,DOT,"Feb 01, 2022",$19.42,$19.95,$19.20,$19.61,"$1,068,758,718","$19,370,583,047"
Polkadot,DOT,"Jan 31, 2022",$18.17,$19.55,$17.20,$19.42,"$1,115,684,278","$19,179,329,187"
Polkadot,DOT,"Jan 30, 2022",$18.72,$18.97,$17.87,$18.17,"$757,967,482","$17,946,811,831"
Polkadot,DOT,"Jan 29, 2022",$18.34,$18.98,$18.13,$18.71,"$766,547,375","$18,477,848,039"
Polkadot,DOT,"Jan 28, 2022",$18.12,$18.47,$17.44,$18.34,"$994,677,640","$18,111,790,312"
Polkadot,DOT,"Jan 27, 2022",$18.07,$18.30,$17.27,$18.13,"$1,134,516,099","$17,909,565,229"
Polkadot,DOT,"Jan 26, 2022",$18.34,$19.94,$17.64,$18.08,"$1,763,129,260","$17,852,311,852"
Polkadot,DOT,"Jan 25, 2022",$18.04,$19.01,$17.44,$18.35,"$1,511,107,520","$18,120,743,008"
Polkadot,DOT,"Jan 24, 2022",$18.83,$18.83,$15.98,$18.04,"$2,261,885,506","$17,812,719,382"
Polkadot,DOT,"Jan 23, 2022",$18.24,$19.14,$17.83,$18.83,"$1,570,770,653","$18,594,909,764"
