currency,ticker,date,open_price,high,low,close_price,volume,market_cap
Shiba Inu,SHIB,"Feb 26, 2022",$0.00002483,$0.00002571,$0.00002429,$0.00002442,"$1,099,351,580","$13,407,920,359"
Shiba Inu,SHIB,"Feb 25, 2022",$0.00002386,$0.00002502,$0.00002315,$0.00002483,"$1,740,381,961","$13,633,916,782"
Shiba Inu,SHIB,"Feb 24, 2022",$0.00002499,$0.00002507,$0.00002087,$0.00002387,"$3,275,038,601","$13,105,005,934"
Shiba Inu,SHIB,"Feb 23, 2022",$0.00002496,$0.00002703,$0.00002466,$0.00002499,"$1,728,129,985","$13,722,000,038"
Shiba Inu,SHIB,"Feb 22, 2022",$0.00002408,$0.00002513,$0.00002325,$0.00002496,"$1,524,043,647","$13,705,662,514"
Shiba Inu,SHIB,"Feb 21, 2022",$0.00002551,$0.00002745,$0.00002405,$0.00002407,"$2,001,180,593","$13,217,016,788"
Shiba Inu,SHIB,"Feb 20, 2022",$0.00002751,$0.00002754,$0.00002502,$0.00002551,"$1,235,841,144","$14,007,748,881"
Shiba Inu,SHIB,"Feb 19, 2022",$0.00002814,$0.00002888,$0.00002716,$0.00002751,"$929,189,862","$15,105,710,767"
Shiba Inu,SHIB,"Feb 18, 2022",$0.00002817,$0.00002989,$0.00002792,$0.00002815,"$1,458,694,142","$15,455,107,417"
Shiba Inu,SHIB,"Feb 17, 2022",$0.00003092,$0.00003232,$0.0000279,$0.00002815,"$2,067,544,526","$15,453,784,566"
Shiba Inu,SHIB,"Feb 16, 2022",$0.00003125,$0.00003144,$0.0000301,$0.00003093,"$1,350,071,541","$16,980,455,091"
Shiba Inu,SHIB,"Feb 15, 2022",$0.00002959,$0.00003168,$0.00002959,$0.00003124,"$1,602,354,887","$17,154,816,279"
Shiba Inu,SHIB,"Feb 14, 2022",$0.00003023,$0.00003075,$0.00002879,$0.00002958,"$1,558,119,657","$16,242,599,694"
Shiba Inu,SHIB,"Feb 13, 2022",$0.00002908,$0.00003204,$0.00002854,$0.00003027,"$2,065,365,631","$16,622,010,390"
Shiba Inu,SHIB,"Feb 12, 2022",$0.00002868,$0.00002978,$0.00002774,$0.00002909,"$1,683,120,664","$15,973,139,523"
Shiba Inu,SHIB,"Feb 11, 2022",$0.00003084,$0.00003223,$0.0000281,$0.00002867,"$2,012,806,768","$15,742,431,641"
Shiba Inu,SHIB,"Feb 10, 2022",$0.00003286,$0.0000336,$0.00003069,$0.00003084,"$2,546,459,745","$16,930,856,525"
Shiba Inu,SHIB,"Feb 09, 2022",$0.00003104,$0.00003387,$0.00003059,$0.00003284,"$2,365,650,708","$18,030,336,670"
Shiba Inu,SHIB,"Feb 08, 2022",$0.00003258,$0.0000349,$0.00002953,$0.00003107,"$3,618,590,002","$17,061,230,337"
Shiba Inu,SHIB,"Feb 07, 2022",$0.00002845,$0.00003493,$0.00002727,$0.00003255,"$4,764,331,366","$17,870,122,155"
Shiba Inu,SHIB,"Feb 06, 2022",$0.00002252,$0.00002841,$0.00002237,$0.00002841,"$2,156,462,842","$15,596,217,121"
Shiba Inu,SHIB,"Feb 05, 2022",$0.00002219,$0.00002378,$0.00002209,$0.00002251,"$842,566,055","$12,362,147,307"
Shiba Inu,SHIB,"Feb 04, 2022",$0.00002068,$0.00002223,$0.00002056,$0.00002219,"$609,855,710","$12,184,092,079"
Shiba Inu,SHIB,"Feb 03, 2022",$0.00002062,$0.00002079,$0.00002021,$0.00002069,"$421,850,042","$11,358,234,375"
Shiba Inu,SHIB,"Feb 02, 2022",$0.00002173,$0.00002185,$0.00002047,$0.00002063,"$484,518,640","$11,326,230,298"
Shiba Inu,SHIB,"Feb 01, 2022",$0.00002143,$0.00002197,$0.00002118,$0.00002174,"$519,254,046","$11,934,872,725"
Shiba Inu,SHIB,"Jan 31, 2022",$0.0000211,$0.00002154,$0.00002026,$0.00002143,"$531,285,879","$11,764,748,944"
Shiba Inu,SHIB,"Jan 30, 2022",$0.00002163,$0.00002213,$0.00002093,$0.00002109,"$488,342,024","$11,581,538,525"
Shiba Inu,SHIB,"Jan 29, 2022",$0.00002131,$0.00002222,$0.00002121,$0.00002162,"$551,033,703","$11,869,150,548"
Shiba Inu,SHIB,"Jan 28, 2022",$0.00002127,$0.00002139,$0.00002041,$0.00002131,"$538,455,794","$11,703,251,838"
Shiba Inu,SHIB,"Jan 27, 2022",$0.00002115,$0.0000216,$0.00002008,$0.00002128,"$890,469,542","$11,683,051,726"
Shiba Inu,SHIB,"Jan 26, 2022",$0.00002106,$0.00002338,$0.00002058,$0.00002117,"$1,155,008,423","$11,623,395,387"
Shiba Inu,SHIB,"Jan 25, 2022",$0.0000212,$0.00002157,$0.00002028,$0.00002107,"$1,047,337,942","$11,567,450,308"
Shiba Inu,SHIB,"Jan 24, 2022",$0.00002245,$0.00002286,$0.00001884,$0.0000212,"$1,924,476,636","$11,641,287,546"
Shiba Inu,SHIB,"Jan 23, 2022",$0.00002052,$0.00002354,$0.00002052,$0.00002245,"$1,957,464,251","$12,325,072,655"
Shiba Inu,SHIB,"Jan 22, 2022",$0.00002224,$0.00002244,$0.00001744,$0.00002051,"$2,140,529,993","$11,262,143,262"
Shiba Inu,SHIB,"Jan 21, 2022",$0.00002645,$0.00002677,$0.00002196,$0.00002223,"$1,422,249,920","$12,204,919,395"
Shiba Inu,SHIB,"Jan 20, 2022",$0.00002734,$0.00002871,$0.00002643,$0.00002644,"$380,410,746","$14,514,579,020"
Shiba Inu,SHIB,"Jan 19, 2022",$0.00002813,$0.00002824,$0.00002722,$0.00002734,"$644,592,746","$15,012,072,817"
Shiba Inu,SHIB,"Jan 18, 2022",$0.00002882,$0.00002945,$0.00002754,$0.00002813,"$817,784,966","$15,446,970,050"
Shiba Inu,SHIB,"Jan 17, 2022",$0.00003052,$0.00003057,$0.00002841,$0.00002882,"$758,868,918","$15,822,970,157"
Shiba Inu,SHIB,"Jan 16, 2022",$0.00003088,$0.00003094,$0.00003019,$0.00003052,"$613,620,998","$16,757,400,982"
Shiba Inu,SHIB,"Jan 15, 2022",$0.00003085,$0.00003146,$0.00003067,$0.00003088,"$697,319,385","$16,956,487,945"
Shiba Inu,SHIB,"Jan 14, 2022",$0.00002965,$0.00003247,$0.00002942,$0.00003085,"$1,538,750,911","$16,938,470,839"
Shiba Inu,SHIB,"Jan 13, 2022",$0.0000317,$0.00003255,$0.00002931,$0.00002964,"$1,435,576,624","$16,273,870,573"
