currency,ticker,date,open_price,high,low,close_price,volume,market_cap
Tether,USDT,"Feb 26, 2022",$1.00,$1.00,$1.00,$1.00,"$46,708,690,534","$79,571,654,148"
Tether,USDT,"Feb 25, 2022",$1.00,$1.00,$1.00,$1.00,"$66,025,345,539","$79,521,157,340"
Tether,USDT,"Feb 24, 2022",$1.00,$1.00,$1.00,$1.00,"$107,952,010,250","$79,525,180,253"
Tether,USDT,"Feb 23, 2022",$1.00,$1.00,$1.00,$1.00,"$54,845,607,157","$79,454,771,411"
Tether,USDT,"Feb 22, 2022",$1.00,$1.00,$1.00,$1.00,"$60,539,262,856","$79,410,542,602"
Tether,USDT,"Feb 21, 2022",$1.00,$1.00,$1.00,$1.00,"$72,043,746,349","$79,085,306,875"
Tether,USDT,"Feb 20, 2022",$1.00,$1.00,$1.00,$1.00,"$45,611,091,002","$79,051,748,941"
Tether,USDT,"Feb 19, 2022",$1.00,$1.00,$1.00,$1.00,"$37,278,604,791","$79,042,970,275"
Tether,USDT,"Feb 18, 2022",$1.00,$1.00,$1.00,$1.00,"$52,679,060,916","$78,738,713,001"
Tether,USDT,"Feb 17, 2022",$1.00,$1.00,$1.00,$1.00,"$59,426,477,844","$78,713,531,339"
Tether,USDT,"Feb 16, 2022",$1.00,$1.00,$1.00,$1.00,"$48,729,582,312","$78,672,234,450"
Tether,USDT,"Feb 15, 2022",$1.00,$1.00,$1.00,$1.00,"$53,542,330,209","$78,515,924,561"
Tether,USDT,"Feb 14, 2022",$1.00,$1.00,$1.00,$1.00,"$48,318,327,792","$78,499,268,283"
Tether,USDT,"Feb 13, 2022",$1.00,$1.00,$1.00,$1.00,"$41,277,090,178","$78,458,775,425"
Tether,USDT,"Feb 12, 2022",$1.00,$1.00,$1.00,$1.00,"$49,138,854,287","$78,470,179,414"
Tether,USDT,"Feb 11, 2022",$1.00,$1.00,$1.00,$1.00,"$66,753,002,645","$78,442,064,943"
Tether,USDT,"Feb 10, 2022",$1.00,$1.00,$1.00,$1.00,"$77,334,791,717","$78,091,072,165"
Tether,USDT,"Feb 09, 2022",$1.00,$1.00,$1.00,$1.00,"$53,386,706,331","$77,984,817,276"
Tether,USDT,"Feb 08, 2022",$1.00,$1.00,$1.00,$1.00,"$72,230,569,455","$77,971,083,989"
Tether,USDT,"Feb 07, 2022",$1.00,$1.00,$1.00,$1.00,"$64,635,714,287","$77,952,000,451"
Tether,USDT,"Feb 06, 2022",$1.00,$1.00,$1.00,$1.00,"$40,572,292,703","$77,961,684,799"
Tether,USDT,"Feb 05, 2022",$1.00,$1.00,$1.00,$1.00,"$50,686,325,002","$77,955,111,127"
Tether,USDT,"Feb 04, 2022",$1.00,$1.00,$1.00,$1.00,"$59,154,422,463","$77,998,586,948"
