currency,ticker,date,open_price,high,low,close_price,volume,market_cap
USD Coin,USDC,"Feb 26, 2022",$0.9999,$1.00,$0.9991,$1,"$3,262,045,031","$53,290,419,666"
USD Coin,USDC,"Feb 25, 2022",$0.9999,$1.00,$0.9993,$0.9999,"$5,563,465,156","$53,268,559,752"
USD Coin,USDC,"Feb 24, 2022",$0.9995,$1.00,$0.9988,$1,"$9,044,960,990","$53,126,695,517"
USD Coin,USDC,"Feb 23, 2022",$1.00,$1.00,$0.9989,$0.9995,"$4,088,593,001","$52,797,597,466"
USD Coin,USDC,"Feb 22, 2022",$0.9994,$1.00,$0.9988,$1.00,"$4,311,028,906","$52,724,134,665"
USD Coin,USDC,"Feb 21, 2022",$1.00,$1.00,$0.9988,$0.9993,"$5,035,066,514","$52,570,580,877"
USD Coin,USDC,"Feb 20, 2022",$0.9999,$1.00,$0.9989,$1.00,"$2,869,319,070","$52,596,647,718"
USD Coin,USDC,"Feb 19, 2022",$0.9997,$1.00,$0.999,$0.9999,"$2,094,832,701","$52,611,021,921"
USD Coin,USDC,"Feb 18, 2022",$0.9994,$1.00,$0.9989,$0.9998,"$3,506,445,548","$52,527,599,037"
USD Coin,USDC,"Feb 17, 2022",$0.9997,$1.00,$0.9989,$0.9994,"$3,964,363,431","$52,549,613,920"
USD Coin,USDC,"Feb 16, 2022",$0.9996,$1.00,$0.9989,$0.9998,"$3,231,224,663","$52,610,584,516"
USD Coin,USDC,"Feb 15, 2022",$0.9993,$1.00,$0.9989,$0.9996,"$3,303,759,191","$52,510,487,683"
USD Coin,USDC,"Feb 14, 2022",$1,$1.00,$0.999,$0.9994,"$2,963,505,590","$52,442,248,486"
USD Coin,USDC,"Feb 13, 2022",$1.00,$1.00,$0.9988,$1,"$2,123,450,728","$52,360,369,755"
USD Coin,USDC,"Feb 12, 2022",$0.9994,$1.00,$0.9988,$1.00,"$2,817,156,195","$52,312,479,507"
USD Coin,USDC,"Feb 11, 2022",$1.00,$1.00,$0.9987,$0.9994,"$4,014,217,487","$52,218,551,392"
USD Coin,USDC,"Feb 10, 2022",$0.9996,$1.00,$0.9989,$1.00,"$4,195,499,895","$52,130,795,965"
USD Coin,USDC,"Feb 09, 2022",$0.9991,$1.00,$0.999,$0.9996,"$2,902,479,207","$51,825,713,831"
USD Coin,USDC,"Feb 08, 2022",$0.9991,$1.00,$0.998,$0.9992,"$3,736,950,599","$51,563,153,536"
USD Coin,USDC,"Feb 07, 2022",$1.00,$1.00,$0.999,$0.999,"$3,534,437,072","$51,290,055,120"
USD Coin,USDC,"Feb 06, 2022",$1.00,$1.00,$0.999,$1.00,"$2,185,135,025","$51,054,224,335"
USD Coin,USDC,"Feb 05, 2022",$0.9996,$1.00,$0.9989,$1.00,"$5,767,688,766","$51,039,228,858"
USD Coin,USDC,"Feb 04, 2022",$1.00,$1.00,$0.9992,$0.9995,"$5,446,795,900","$50,870,604,118"
USD Coin,USDC,"Feb 03, 2022",$0.9999,$1.00,$0.9991,$1.00,"$2,639,131,315","$50,820,489,157"
USD Coin,USDC,"Feb 02, 2022",$0.9997,$1.00,$0.9992,$1,"$2,735,917,325","$50,428,692,188"
USD Coin,USDC,"Feb 01, 2022",$0.9995,$1.00,$0.9991,$0.9997,"$3,093,316,095","$50,069,388,439"
USD Coin,USDC,"Jan 31, 2022",$1.00,$1.00,$0.9991,$0.9995,"$2,977,541,960","$49,848,162,626"
USD Coin,USDC,"Jan 30, 2022",$1.00,$1.00,$0.9992,$1.00,"$2,333,906,963","$49,800,880,429"
USD Coin,USDC,"Jan 29, 2022",$1.00,$1.00,$0.9984,$0.9995,"$2,941,069,881","$49,739,175,193"
USD Coin,USDC,"Jan 28, 2022",$0.9997,$1.00,$0.999,$0.9997,"$4,809,047,239","$49,645,733,199"
USD Coin,USDC,"Jan 27, 2022",$0.9999,$1.00,$0.9989,$0.9998,"$5,023,632,111","$49,373,594,427"
USD Coin,USDC,"Jan 26, 2022",$1.00,$1.00,$0.9981,$0.9989,"$5,195,373,046","$49,632,437,388"
USD Coin,USDC,"Jan 25, 2022",$1.00,$1.00,$0.9983,$1.00,"$4,146,328,235","$48,579,858,785"
USD Coin,USDC,"Jan 24, 2022",$1.00,$1.00,$0.9991,$1.00,"$7,468,827,146","$48,058,913,063"
