currency,ticker,date,open_price,high,low,close_price,volume,market_cap
XRP,XRP,"Feb 26, 2022",$0.7686,$0.7882,$0.7436,$0.751,"$3,051,695,701","$36,008,637,870"
XRP,XRP,"Feb 25, 2022",$0.6963,$0.7689,$0.6858,$0.7689,"$3,460,713,330","$36,868,338,077"
XRP,XRP,"Feb 24, 2022",$0.6986,$0.7129,$0.6271,$0.6963,"$5,146,799,150","$33,385,746,487"
XRP,XRP,"Feb 23, 2022",$0.7229,$0.7389,$0.6963,$0.6987,"$2,690,184,820","$33,504,378,574"
XRP,XRP,"Feb 22, 2022",$0.7033,$0.7252,$0.6788,$0.7228,"$3,539,593,096","$34,659,333,456"
XRP,XRP,"Feb 21, 2022",$0.7782,$0.7997,$0.702,$0.7035,"$3,580,522,306","$33,730,672,760"
XRP,XRP,"Feb 20, 2022",$0.8225,$0.8227,$0.77,$0.7783,"$3,041,836,889","$37,318,724,163"
XRP,XRP,"Feb 19, 2022",$0.7859,$0.8498,$0.7736,$0.8225,"$3,325,442,943","$39,439,647,397"
XRP,XRP,"Feb 18, 2022",$0.7673,$0.8039,$0.7603,$0.7859,"$2,913,093,056","$37,682,867,753"
XRP,XRP,"Feb 17, 2022",$0.8387,$0.8441,$0.7582,$0.7672,"$2,798,023,719","$36,785,413,824"
XRP,XRP,"Feb 16, 2022",$0.8524,$0.8524,$0.8131,$0.839,"$2,165,008,058","$40,180,105,122"
XRP,XRP,"Feb 15, 2022",$0.8022,$0.8559,$0.7983,$0.8523,"$2,249,706,300","$40,816,850,707"
XRP,XRP,"Feb 14, 2022",$0.8099,$0.8105,$0.7826,$0.8022,"$2,401,300,497","$38,372,052,719"
XRP,XRP,"Feb 13, 2022",$0.8222,$0.8443,$0.7963,$0.8103,"$2,504,198,747","$38,757,348,317"
XRP,XRP,"Feb 12, 2022",$0.7602,$0.8488,$0.753,$0.8224,"$3,457,258,389","$39,337,817,275"
XRP,XRP,"Feb 11, 2022",$0.8299,$0.8299,$0.7543,$0.7602,"$3,346,204,748","$36,363,472,398"
XRP,XRP,"Feb 10, 2022",$0.8709,$0.8946,$0.8299,$0.83,"$3,535,002,566","$39,701,428,233"
XRP,XRP,"Feb 09, 2022",$0.8775,$0.9091,$0.8474,$0.8706,"$3,760,269,362","$41,644,223,972"
