currency,ticker,date,open_price,high,low,close_price,volume,market_cap
Avalanche,AVAX,2022-02-26,80.85,84.87,78.5,81.88,1419135253.0,20139377452.0
Avalanche,AVAX,2022-02-25,76.54,81.86,72.95,80.83,1884195969.0,19872460664.0
Avalanche,AVAX,2022-02-24,73.67,79.32,64.83,76.52,3097306165.0,18805020786.0
Avalanche,AVAX,2022-02-23,74.54,81.84,73.7,73.7,1699396767.0,18103656760.0
Avalanche,AVAX,2022-02-22,70.0,74.76,67.46,74.57,1344001591.0,18310475755.0
Avalanche,AVAX,2022-02-21,77.3,82.58,69.79,69.99,1626858109.0,17175455647.0
Avalanche,AVAX,2022-02-20,85.11,85.54,76.74,77.34,984477195.0,18971728613.0
Avalanche,AVAX,2022-02-19,83.82,86.31,81.18,85.1,850252533.0,20874476390.0
Avalanche,AVAX,2022-02-18,88.22,89.94,82.85,83.84,1283023478.0,20565591473.0
Avalanche,AVAX,2022-02-17,95.25,98.57,86.66,88.12,1798309218.0,21617068119.0
Avalanche,AVAX,2022-02-16,92.75,97.05,91.83,95.35,1729554621.0,23388646827.0
Avalanche,AVAX,2022-02-15,82.03,93.43,81.6,92.67,1272958909.0,22732164944.0
Avalanche,AVAX,2022-02-14,78.2,82.52,76.42,82.02,865000799.0,20119241303.0
Avalanche,AVAX,2022-02-13,81.21,83.24,77.76,78.24,676959728.0,19193208560.0
Avalanche,AVAX,2022-02-12,81.76,84.72,79.08,81.25,1123397419.0,19927968097.0
Avalanche,AVAX,2022-02-11,91.17,92.49,80.31,81.73,1323311027.0,20047360551.0
Avalanche,AVAX,2022-02-10,90.03,94.99,85.37,91.14,1616543856.0,22353899997.0
Avalanche,AVAX,2022-02-09,86.55,91.93,84.78,90.02,1053167954.0,22081075735.0
Avalanche,AVAX,2022-02-08,83.22,92.37,82.06,86.62,2252177846.0,21240951208.0
Avalanche,AVAX,2022-02-07,78.8,85.17,77.65,83.17,912462594.0,20392700548.0
Avalanche,AVAX,2022-02-06,77.24,78.93,74.62,78.76,506746738.0,19306314559.0
Avalanche,AVAX,2022-02-05,77.47,80.76,75.35,77.25,797735218.0,18936619776.0
Avalanche,AVAX,2022-02-04,68.11,77.5,67.62,77.31,965938411.0,18945342290.0
Avalanche,AVAX,2022-02-03,67.86,68.86,65.35,68.11,695260121.0,16689038880.0
Avalanche,AVAX,2022-02-02,73.43,74.51,67.75,67.88,875718764.0,16631677883.0
Avalanche,AVAX,2022-02-01,69.98,73.74,68.85,73.45,843353375.0,17995815192.0
Avalanche,AVAX,2022-01-31,67.98,70.56,64.4,69.99,700410198.0,17147869341.0
Avalanche,AVAX,2022-01-30,72.11,72.23,67.01,67.97,534098086.0,16646915885.0
Avalanche,AVAX,2022-01-29,67.12,73.44,67.01,72.12,697610539.0,17659509213.0
Avalanche,AVAX,2022-01-28,64.64,67.32,61.94,67.13,664566075.0,16436994239.0
Avalanche,AVAX,2022-01-27,65.97,67.78,61.34,64.7,798856523.0,15841160467.0
Avalanche,AVAX,2022-01-26,67.89,72.92,64.66,66.0,1166402419.0,16158817983.0
Avalanche,AVAX,2022-01-25,62.9,70.34,61.89,67.9,994124979.0,16624907484.0
Avalanche,AVAX,2022-01-24,64.75,64.8,55.57,62.88,1159701823.0,15395009090.0
Avalanche,AVAX,2022-01-23,59.79,66.7,59.44,64.73,897015183.0,15847028100.0
Avalanche,AVAX,2022-01-22,65.97,67.47,53.94,59.73,1333878308.0,14595034987.0
Avalanche,AVAX,2022-01-21,79.14,80.3,64.56,65.92,1061162871.0,16108748580.0
Avalanche,AVAX,2022-01-20,82.9,87.64,79.07,79.07,301646934.0,19320350214.0
Avalanche,AVAX,2022-01-19,86.02,86.35,81.42,82.9,538783322.0,20257304830.0
Avalanche,AVAX,2022-01-18,86.75,87.33,83.92,86.01,519434644.0,21017605036.0
Avalanche,AVAX,2022-01-17,92.26,92.41,85.69,86.75,613946950.0,21197628638.0
Avalanche,AVAX,2022-01-16,93.3,94.83,92.01,92.24,498172515.0,22539370537.0
Avalanche,AVAX,2022-01-15,90.35,94.32,89.83,93.32,514349943.0,22802416203.0
Avalanche,AVAX,2022-01-14,89.48,91.63,87.66,90.34,640737088.0,22075108351.0
Avalanche,AVAX,2022-01-13,95.82,97.11,89.41,89.41,756890649.0,21847164221.0
Avalanche,AVAX,2022-01-12,89.52,96.76,88.99,95.82,962440339.0,23414613863.0
Avalanche,AVAX,2022-01-11,84.53,90.86,83.47,89.5,719261554.0,21865568558.0
