currency,ticker,date,open_price,high,low,close_price,volume,market_cap
BNB,BNB,2022-02-26,374.89,385.21,371.48,373.64,1319208551.0,61694020170.0
BNB,BNB,2022-02-25,361.22,376.8,357.37,374.91,1839035023.0,61904739647.0
BNB,BNB,2022-02-24,366.35,368.17,324.48,361.23,2972951900.0,59645892983.0
BNB,BNB,2022-02-23,374.3,383.25,366.54,366.54,1644707704.0,60521812716.0
BNB,BNB,2022-02-22,356.73,374.86,350.15,374.31,2037210077.0,61804434179.0
BNB,BNB,2022-02-21,380.74,393.62,356.18,356.66,2164511484.0,58890751692.0
BNB,BNB,2022-02-20,400.0,400.13,376.01,380.83,1431745519.0,62880741279.0
BNB,BNB,2022-02-19,399.52,406.38,393.93,400.04,1192395484.0,66053898767.0
BNB,BNB,2022-02-18,402.65,410.94,393.82,399.57,1554511893.0,65975568167.0
BNB,BNB,2022-02-17,427.55,431.02,400.81,402.45,1644013199.0,66451246799.0
BNB,BNB,2022-02-16,432.49,433.43,423.08,427.92,1670788158.0,70656455985.0
BNB,BNB,2022-02-15,403.66,436.25,403.09,432.41,2538883559.0,71398038456.0
BNB,BNB,2022-02-14,398.64,403.93,391.38,403.66,1269083662.0,66651161136.0
BNB,BNB,2022-02-13,403.27,406.71,395.66,398.89,1151509777.0,65862892979.0
BNB,BNB,2022-02-12,400.5,407.14,394.8,403.39,1372516416.0,66606405568.0
BNB,BNB,2022-02-11,415.19,419.29,393.98,400.42,1714654174.0,66116449646.0
BNB,BNB,2022-02-10,422.51,434.17,411.25,415.12,2037888603.0,68543142480.0
BNB,BNB,2022-02-09,408.52,427.39,407.95,422.47,1601745132.0,69756144860.0
BNB,BNB,2022-02-08,433.46,444.29,407.16,408.78,2247004672.0,67495894818.0
BNB,BNB,2022-02-07,419.67,438.64,414.25,433.23,1755674427.0,71533416664.0
BNB,BNB,2022-02-06,414.22,421.11,408.61,419.55,1427593921.0,69274003461.0
BNB,BNB,2022-02-05,399.15,430.35,396.93,414.2,2039010962.0,68391365210.0
BNB,BNB,2022-02-04,370.71,399.22,369.82,399.03,1711084752.0,65886476170.0
BNB,BNB,2022-02-03,367.37,370.88,360.49,370.88,1202744039.0,61238131890.0
BNB,BNB,2022-02-02,385.49,386.11,366.9,367.47,1290849744.0,60675734271.0
BNB,BNB,2022-02-01,375.1,387.77,374.33,385.46,1392647608.0,63646536971.0
BNB,BNB,2022-01-31,377.65,384.98,366.11,375.28,1386778184.0,61964576590.0
BNB,BNB,2022-01-30,389.2,389.25,373.04,377.61,1289330238.0,62350221471.0
BNB,BNB,2022-01-29,386.07,396.77,381.68,389.13,1330610935.0,64252345527.0
BNB,BNB,2022-01-28,390.0,393.38,376.75,386.08,1592850476.0,63749004175.0
BNB,BNB,2022-01-27,375.54,391.8,360.33,390.09,1952844398.0,64410112333.0
BNB,BNB,2022-01-26,384.59,400.15,367.58,375.76,2226973227.0,62043525509.0
BNB,BNB,2022-01-25,371.39,387.18,358.08,384.62,2325661159.0,63507103572.0
BNB,BNB,2022-01-24,384.04,384.04,337.85,371.37,3210871602.0,61319239193.0
BNB,BNB,2022-01-23,358.33,388.59,357.17,383.93,2786834863.0,63393933785.0
BNB,BNB,2022-01-22,383.47,388.91,340.05,358.1,4226932408.0,59127680060.0
BNB,BNB,2022-01-21,440.07,444.18,376.77,383.07,3647221590.0,63251925838.0
BNB,BNB,2022-01-20,462.86,478.35,439.98,440.01,1881741995.0,72652270854.0
BNB,BNB,2022-01-19,471.92,472.77,454.76,462.82,1780063381.0,76419685290.0
BNB,BNB,2022-01-18,475.74,479.66,458.15,472.01,2106859289.0,77935945161.0
BNB,BNB,2022-01-17,498.51,498.94,468.58,475.71,2134608006.0,79348951880.0
BNB,BNB,2022-01-16,494.92,505.3,489.5,498.43,1771927950.0,83138350006.0
BNB,BNB,2022-01-15,489.92,501.31,486.31,494.99,1766015929.0,82564578043.0
BNB,BNB,2022-01-14,475.13,491.66,468.94,489.87,3112235914.0,81710448741.0
BNB,BNB,2022-01-13,487.04,488.21,467.88,475.03,4151007744.0,79235401456.0
BNB,BNB,2022-01-12,463.56,489.33,457.12,487.01,4131335431.0,81233396504.0
BNB,BNB,2022-01-11,424.89,467.28,422.0,463.52,4600615710.0,77315387871.0
BNB,BNB,2022-01-10,438.79,445.04,408.7,424.93,4156063326.0,70879440367.0
BNB,BNB,2022-01-09,430.25,444.49,428.24,438.8,3347862691.0,73192856244.0
BNB,BNB,2022-01-08,447.86,458.48,419.2,430.25,4068139021.0,71765554064.0
BNB,BNB,2022-01-07,473.0,474.3,439.26,447.79,4613172287.0,74691631587.0
BNB,BNB,2022-01-06,475.08,481.06,460.25,473.28,4400228627.0,78942916084.0
BNB,BNB,2022-01-05,507.6,515.24,462.06,475.06,2870757788.0,79240041765.0
BNB,BNB,2022-01-04,512.13,519.7,503.22,507.51,2200879165.0,84652601973.0
BNB,BNB,2022-01-03,531.39,532.1,510.65,512.14,1949153130.0,85424866707.0
BNB,BNB,2022-01-02,527.29,533.37,518.75,531.4,1462276185.0,88637570485.0
BNB,BNB,2022-01-01,511.91,527.35,511.9,527.35,1622547014.0,87963039449.0
BNB,BNB,2021-12-31,519.12,527.7,507.89,511.71,2020489898.0,85353536222.0
