currency,ticker,date,open_price,high,low,close_price,volume,market_cap
Binance USD,BUSD,"Feb 26, 2022",$1.00,$1.00,$0.9982,$1.00,"$3,994,663,167","$18,145,910,119"
Binance USD,BUSD,"Feb 25, 2022",$0.9997,$1.00,$0.9983,$1.00,"$5,625,014,132","$18,142,345,644"
Binance USD,BUSD,"Feb 24, 2022",$0.9997,$1.00,$0.9979,$0.9998,"$9,044,548,485","$18,549,890,792"
Binance USD,BUSD,"Feb 23, 2022",$1.00,$1.00,$0.9981,$0.9997,"$4,784,157,895","$18,260,533,543"
Binance USD,BUSD,"Feb 22, 2022",$0.9986,$1.00,$0.9977,$1.00,"$5,003,666,912","$18,303,896,641"
Binance USD,BUSD,"Feb 21, 2022",$0.9989,$1.00,$0.9982,$0.9985,"$5,311,212,829","$18,083,148,434"
Binance USD,BUSD,"Feb 20, 2022",$0.9998,$1.00,$0.998,$0.9989,"$3,612,352,120","$18,089,648,882"
Binance USD,BUSD,"Feb 19, 2022",$0.999,$1.00,$0.9983,$0.9998,"$3,002,762,758","$18,183,760,350"
Binance USD,BUSD,"Feb 18, 2022",$1.00,$1.00,$0.9984,$0.9991,"$4,258,048,034","$18,170,493,093"
Binance USD,BUSD,"Feb 17, 2022",$0.9991,$1.00,$0.9981,$1.00,"$4,635,798,731","$18,044,363,174"
Binance USD,BUSD,"Feb 16, 2022",$1.00,$1.00,$0.9981,$0.9992,"$4,475,930,042","$17,746,727,164"
Binance USD,BUSD,"Feb 15, 2022",$0.9987,$1.00,$0.9984,$1.00,"$4,879,125,525","$17,827,796,640"
Binance USD,BUSD,"Feb 14, 2022",$0.9987,$1.00,$0.9979,$0.9987,"$3,939,768,489","$17,540,957,897"
Binance USD,BUSD,"Feb 13, 2022",$0.9996,$1.00,$0.9983,$0.9987,"$3,570,660,651","$17,569,100,319"
Binance USD,BUSD,"Feb 12, 2022",$0.999,$1.00,$0.9984,$0.9996,"$4,072,552,039","$17,585,892,271"
Binance USD,BUSD,"Feb 11, 2022",$0.9989,$1.00,$0.9984,$0.999,"$5,668,341,964","$17,765,006,504"
