currency,ticker,date,open_price,high,low,close_price,volume,market_cap
Bitcoin,BTC,2022-02-26,39213.08,40005.35,38702.53,39105.15,17467554129.0,741789694059.0
Bitcoin,BTC,2022-02-25,38333.75,39630.32,38111.34,39214.22,26545599159.0,743827806938.0
Bitcoin,BTC,2022-02-24,37278.57,38968.84,34459.22,38332.61,46383802093.0,727072550320.0
Bitcoin,BTC,2022-02-23,38285.28,39122.39,37201.82,37296.57,21849073843.0,707390766255.0
Bitcoin,BTC,2022-02-22,37068.77,38359.85,36488.93,38286.03,25493150450.0,726121533658.0
Bitcoin,BTC,2022-02-21,38423.21,39394.44,36950.48,37075.28,29280402798.0,703124071472.0
Bitcoin,BTC,2022-02-20,40118.1,40119.89,38112.81,38431.38,18340576452.0,728812385562.0
Bitcoin,BTC,2022-02-19,40026.02,40418.88,39713.06,40122.15,13736557863.0,760839429984.0
Bitcoin,BTC,2022-02-18,40552.13,40929.15,39637.62,40030.98,23310007704.0,759074084514.0
Bitcoin,BTC,2022-02-17,43937.07,44132.97,40249.37,40538.01,26246662813.0,768654436207.0
Bitcoin,BTC,2022-02-16,44578.28,44578.28,43456.69,43961.86,19792547657.0,833531932920.0
Bitcoin,BTC,2022-02-15,42586.46,44667.22,42491.03,44575.2,22721659051.0,845117683687.0
Bitcoin,BTC,2022-02-14,42157.4,42775.78,41681.96,42586.92,20827783012.0,807375855006.0
Bitcoin,BTC,2022-02-13,42236.57,42693.05,41950.94,42197.52,14741589015.0,799950408997.0
Bitcoin,BTC,2022-02-12,42412.3,42992.55,41852.57,42244.47,18152390304.0,800797790301.0
Bitcoin,BTC,2022-02-11,43571.13,43810.83,42114.54,42407.94,26954925781.0,803848273503.0
Bitcoin,BTC,2022-02-10,44347.8,45661.17,43402.81,43565.11,32142048537.0,825745116530.0
Bitcoin,BTC,2022-02-09,44096.7,44727.8,43232.97,44338.8,23245887300.0,840369284541.0
Bitcoin,BTC,2022-02-08,43854.65,45293.87,42807.84,44118.45,33079398868.0,836154543908.0
Bitcoin,BTC,2022-02-07,42406.78,44401.86,41748.16,43840.29,28641855926.0,830838884165.0
Bitcoin,BTC,2022-02-06,41441.12,42500.79,41244.91,42412.43,16142097334.0,803744511638.0
Bitcoin,BTC,2022-02-05,41501.48,41847.16,41038.1,41441.16,19652846215.0,785297889648.0
Bitcoin,BTC,2022-02-04,37149.26,41527.79,37093.63,41500.88,29412210792.0,786396684548.0
Bitcoin,BTC,2022-02-03,36944.81,37154.6,36375.54,37154.6,18591534769.0,704010232687.0
Bitcoin,BTC,2022-02-02,38743.71,38834.62,36832.73,36952.98,19155189416.0,700155817836.0
Bitcoin,BTC,2022-02-01,38481.77,39115.13,38113.66,38743.27,20288500328.0,734039224255.0
Bitcoin,BTC,2022-01-31,37920.28,38647.26,36733.57,38483.13,20734730465.0,729073641688.0
Bitcoin,BTC,2022-01-30,38151.92,38266.34,37437.71,37917.6,14643548444.0,718325967803.0
Bitcoin,BTC,2022-01-29,37780.71,38576.26,37406.47,38138.18,17194183075.0,722469136410.0
Bitcoin,BTC,2022-01-28,37128.44,37952.88,36211.11,37784.33,22238830523.0,715731622071.0
Bitcoin,BTC,2022-01-27,36841.88,37148.32,35629.28,37138.23,25041426629.0,703456873493.0
Bitcoin,BTC,2022-01-26,36950.51,38825.41,36374.91,36852.12,31324598034.0,698006361956.0
Bitcoin,BTC,2022-01-25,36654.81,37444.57,35779.43,36954.0,26428189594.0,699907393886.0
Bitcoin,BTC,2022-01-24,36275.73,37247.52,33184.06,36654.33,41856658597.0,694196560317.0
Bitcoin,BTC,2022-01-23,35047.36,36433.31,34784.97,36276.8,26017975951.0,687012848062.0
Bitcoin,BTC,2022-01-22,36471.59,36688.81,34349.25,35030.25,39714385405.0,663374008017.0
Bitcoin,BTC,2022-01-21,40699.61,41060.53,35791.43,36457.32,43011992031.0,690368973093.0
Bitcoin,BTC,2022-01-20,41744.03,43413.02,40672.82,40680.42,20382033940.0,770304579439.0
Bitcoin,BTC,2022-01-19,42374.04,42478.3,41242.91,41744.33,23091543258.0,790406427118.0
Bitcoin,BTC,2022-01-18,42250.07,42534.4,41392.22,42375.63,22417209227.0,802313747480.0
Bitcoin,BTC,2022-01-17,43118.12,43179.39,41680.32,42250.55,21690904261.0,799910089279.0
Bitcoin,BTC,2022-01-16,43172.04,43436.81,42691.02,43113.88,17902097845.0,816211499221.0
Bitcoin,BTC,2022-01-15,43101.9,43724.67,42669.04,43177.4,18371348298.0,817364571824.0
Bitcoin,BTC,2022-01-14,42598.87,43346.69,41982.62,43099.7,23577403399.0,815850639036.0
Bitcoin,BTC,2022-01-13,43946.74,44278.42,42447.04,42591.57,47691135082.0,806189762638.0
Bitcoin,BTC,2022-01-12,42742.18,44135.37,42528.99,43949.1,33499938689.0,831836978396.0
Bitcoin,BTC,2022-01-11,41819.51,43001.16,41407.75,42735.85,26327648900.0,808834801011.0
Bitcoin,BTC,2022-01-10,41910.23,42199.49,39796.57,41821.26,32104232331.0,791484886194.0
Bitcoin,BTC,2022-01-09,41734.73,42663.95,41338.16,41911.6,21294384372.0,793156354744.0
Bitcoin,BTC,2022-01-08,41561.47,42228.94,40672.28,41733.94,28066355845.0,789758782727.0
Bitcoin,BTC,2022-01-07,43153.57,43153.57,41077.45,41557.9,84196607520.0,786389774194.0
Bitcoin,BTC,2022-01-06,43565.51,43748.72,42645.54,43160.93,30208048289.0,816685390313.0
Bitcoin,BTC,2022-01-05,45899.36,46929.05,42798.22,43569.0,36851084859.0,824368284530.0
Bitcoin,BTC,2022-01-04,46458.85,47406.55,45752.46,45897.58,42494677905.0,868383282082.0
