currency,ticker,date,open_price,high,low,close_price,volume,market_cap
Cardano,ADA,"Feb 26, 2022",$0.898,$0.9283,$0.8854,$0.8879,"$1,099,934,921","$29,876,789,060"
Cardano,ADA,"Feb 25, 2022",$0.8536,$0.9065,$0.8292,$0.898,"$1,652,894,219","$30,210,158,117"
Cardano,ADA,"Feb 24, 2022",$0.8685,$0.8823,$0.7528,$0.8534,"$3,629,367,685","$28,709,774,071"
Cardano,ADA,"Feb 23, 2022",$0.889,$0.9554,$0.8692,$0.8692,"$1,824,386,011","$29,227,073,591"
Cardano,ADA,"Feb 22, 2022",$0.8581,$0.8938,$0.82,$0.889,"$2,058,499,639","$29,894,483,580"
Cardano,ADA,"Feb 21, 2022",$0.9325,$0.9862,$0.8577,$0.8582,"$2,072,270,994","$28,859,436,745"
Cardano,ADA,"Feb 20, 2022",$0.9976,$0.9976,$0.9233,$0.9329,"$1,429,017,666","$31,370,229,673"
Cardano,ADA,"Feb 19, 2022",$0.997,$1.02,$0.9775,$0.9977,"$1,104,597,763","$33,549,313,160"
Cardano,ADA,"Feb 18, 2022",$1.02,$1.04,$0.9895,$0.9971,"$1,288,743,412","$33,529,541,469"
Cardano,ADA,"Feb 17, 2022",$1.08,$1.09,$1.01,$1.02,"$1,093,325,576","$34,282,047,861"
Cardano,ADA,"Feb 16, 2022",$1.11,$1.11,$1.07,$1.08,"$1,028,924,852","$36,469,879,050"
Cardano,ADA,"Feb 15, 2022",$1.05,$1.11,$1.05,$1.11,"$1,370,174,980","$37,229,777,646"
Cardano,ADA,"Feb 14, 2022",$1.05,$1.05,$1.02,$1.05,"$1,261,583,495","$35,281,250,024"
Cardano,ADA,"Feb 13, 2022",$1.06,$1.07,$1.04,$1.05,"$1,066,206,015","$35,153,676,037"
Cardano,ADA,"Feb 12, 2022",$1.08,$1.09,$1.03,$1.06,"$1,401,190,670","$35,547,576,316"
Cardano,ADA,"Feb 11, 2022",$1.15,$1.16,$1.07,$1.08,"$1,395,763,170","$36,291,724,606"
Cardano,ADA,"Feb 10, 2022",$1.19,$1.22,$1.15,$1.15,"$1,810,255,178","$38,714,772,900"
Cardano,ADA,"Feb 09, 2022",$1.18,$1.21,$1.15,$1.19,"$1,239,455,609","$40,136,899,888"
Cardano,ADA,"Feb 08, 2022",$1.20,$1.26,$1.14,$1.18,"$2,267,265,855","$39,596,449,769"
Cardano,ADA,"Feb 07, 2022",$1.14,$1.21,$1.13,$1.20,"$2,107,219,347","$40,204,912,879"
Cardano,ADA,"Feb 06, 2022",$1.13,$1.15,$1.10,$1.14,"$911,521,818","$38,433,324,420"
Cardano,ADA,"Feb 05, 2022",$1.14,$1.17,$1.10,$1.13,"$1,363,912,644","$37,855,752,268"
Cardano,ADA,"Feb 04, 2022",$1.06,$1.14,$1.05,$1.14,"$1,178,757,518","$38,133,784,027"
Cardano,ADA,"Feb 03, 2022",$1.03,$1.06,$1.02,$1.06,"$873,675,008","$35,475,035,083"
Cardano,ADA,"Feb 02, 2022",$1.09,$1.10,$1.03,$1.03,"$1,086,043,481","$34,536,426,836"
Cardano,ADA,"Feb 01, 2022",$1.05,$1.09,$1.04,$1.09,"$1,130,552,843","$36,540,985,140"
Cardano,ADA,"Jan 31, 2022",$1.04,$1.06,$1.01,$1.05,"$925,666,321","$35,321,862,362"
Cardano,ADA,"Jan 30, 2022",$1.06,$1.08,$1.03,$1.04,"$748,084,610","$34,824,144,096"
Cardano,ADA,"Jan 29, 2022",$1.05,$1.08,$1.04,$1.06,"$913,122,499","$35,565,918,918"
Cardano,ADA,"Jan 28, 2022",$1.04,$1.06,$1.01,$1.05,"$1,206,550,586","$35,265,091,282"
Cardano,ADA,"Jan 27, 2022",$1.08,$1.08,$1.01,$1.04,"$1,519,972,359","$35,013,736,960"
Cardano,ADA,"Jan 26, 2022",$1.04,$1.15,$1.03,$1.08,"$2,437,592,239","$36,205,391,032"
Cardano,ADA,"Jan 25, 2022",$1.07,$1.07,$0.9982,$1.04,"$1,766,326,155","$35,015,220,286"
Cardano,ADA,"Jan 24, 2022",$1.12,$1.12,$0.9591,$1.07,"$3,237,316,963","$35,787,820,754"
Cardano,ADA,"Jan 23, 2022",$1.07,$1.16,$1.06,$1.12,"$2,362,627,205","$37,644,141,351"
Cardano,ADA,"Jan 22, 2022",$1.12,$1.15,$0.9334,$1.07,"$3,930,474,859","$35,777,545,097"
Cardano,ADA,"Jan 21, 2022",$1.26,$1.28,$1.11,$1.12,"$3,009,627,794","$37,673,165,251"
Cardano,ADA,"Jan 20, 2022",$1.34,$1.42,$1.26,$1.26,"$1,686,210,420","$42,195,174,138"
Cardano,ADA,"Jan 19, 2022",$1.46,$1.53,$1.33,$1.34,"$3,304,139,176","$45,002,629,540"
Cardano,ADA,"Jan 18, 2022",$1.60,$1.63,$1.42,$1.47,"$4,287,066,351","$49,134,518,163"
Cardano,ADA,"Jan 17, 2022",$1.41,$1.59,$1.39,$1.59,"$5,285,117,130","$53,445,773,894"
Cardano,ADA,"Jan 16, 2022",$1.30,$1.42,$1.29,$1.41,"$2,436,680,646","$47,180,439,513"
Cardano,ADA,"Jan 15, 2022",$1.29,$1.32,$1.26,$1.30,"$967,735,764","$43,459,390,227"
Cardano,ADA,"Jan 14, 2022",$1.23,$1.31,$1.23,$1.29,"$1,855,980,787","$43,280,635,762"
Cardano,ADA,"Jan 13, 2022",$1.30,$1.35,$1.23,$1.23,"$2,022,506,483","$41,327,204,612"
Cardano,ADA,"Jan 12, 2022",$1.19,$1.31,$1.19,$1.30,"$1,651,269,250","$43,719,232,103"
Cardano,ADA,"Jan 11, 2022",$1.13,$1.19,$1.13,$1.19,"$1,089,929,557","$39,716,965,882"
Cardano,ADA,"Jan 10, 2022",$1.17,$1.18,$1.08,$1.13,"$1,481,621,292","$37,804,751,044"
Cardano,ADA,"Jan 09, 2022",$1.19,$1.20,$1.15,$1.17,"$1,088,569,809","$39,340,035,970"
Cardano,ADA,"Jan 08, 2022",$1.21,$1.25,$1.14,$1.19,"$1,499,054,949","$39,781,014,813"
Cardano,ADA,"Jan 07, 2022",$1.28,$1.28,$1.19,$1.21,"$1,751,707,653","$40,586,227,606"
Cardano,ADA,"Jan 06, 2022",$1.24,$1.29,$1.19,$1.28,"$1,559,075,484","$42,872,127,591"
Cardano,ADA,"Jan 05, 2022",$1.31,$1.35,$1.20,$1.24,"$1,416,139,355","$41,405,570,495"
Cardano,ADA,"Jan 04, 2022",$1.32,$1.35,$1.30,$1.31,"$1,014,646,349","$43,940,063,351"
Cardano,ADA,"Jan 03, 2022",$1.38,$1.38,$1.32,$1.32,"$956,659,954","$44,255,641,775"
Cardano,ADA,"Jan 02, 2022",$1.38,$1.39,$1.35,$1.38,"$881,893,010","$46,129,061,736"
Cardano,ADA,"Jan 01, 2022",$1.31,$1.38,$1.31,$1.38,"$851,279,685","$46,108,724,313"
Cardano,ADA,"Dec 31, 2021",$1.36,$1.38,$1.29,$1.31,"$1,271,633,462","$43,873,068,347"
Cardano,ADA,"Dec 30, 2021",$1.33,$1.38,$1.30,$1.36,"$1,292,798,472","$45,554,286,344"
