currency,ticker,date,open_price,high,low,close_price,volume,market_cap
Cosmos,ATOM,"Feb 26, 2022",$27.23,$30.29,$27.21,$29.81,"$1,069,523,684","$8,535,951,646"
Cosmos,ATOM,"Feb 25, 2022",$24.94,$27.40,$24.35,$27.23,"$898,558,382","$7,796,696,757"
Cosmos,ATOM,"Feb 24, 2022",$25.28,$25.48,$21.75,$24.95,"$1,378,414,997","$7,143,533,046"
Cosmos,ATOM,"Feb 23, 2022",$24.86,$26.86,$24.63,$25.29,"$787,914,536","$7,241,576,953"
Cosmos,ATOM,"Feb 22, 2022",$23.84,$24.95,$23.22,$24.86,"$704,566,874","$7,119,662,993"
Cosmos,ATOM,"Feb 21, 2022",$26.23,$27.28,$23.80,$23.84,"$922,806,986","$6,827,187,982"
Cosmos,ATOM,"Feb 20, 2022",$26.68,$26.76,$25.54,$26.24,"$542,302,454","$7,514,799,942"
Cosmos,ATOM,"Feb 19, 2022",$26.95,$27.38,$26.20,$26.69,"$365,234,097","$7,642,894,712"
Cosmos,ATOM,"Feb 18, 2022",$28.03,$28.98,$26.81,$26.96,"$846,780,032","$7,720,430,883"
Cosmos,ATOM,"Feb 17, 2022",$28.52,$30.79,$27.63,$27.99,"$1,377,969,621","$8,016,818,305"
Cosmos,ATOM,"Feb 16, 2022",$28.94,$29.14,$27.68,$28.53,"$508,331,706","$8,171,206,297"
Cosmos,ATOM,"Feb 15, 2022",$27.18,$29.13,$27.17,$28.94,"$714,991,210","$8,287,022,556"
Cosmos,ATOM,"Feb 14, 2022",$26.32,$27.31,$25.49,$27.18,"$589,939,993","$7,783,544,992"
Cosmos,ATOM,"Feb 13, 2022",$27.04,$27.62,$26.03,$26.35,"$426,643,904","$7,544,743,203"
Cosmos,ATOM,"Feb 12, 2022",$26.56,$28.29,$26.19,$27.04,"$706,811,854","$7,744,554,527"
Cosmos,ATOM,"Feb 11, 2022",$29.14,$29.33,$26.39,$26.55,"$693,840,846","$7,602,976,991"
Cosmos,ATOM,"Feb 10, 2022",$30.90,$31.09,$28.87,$29.14,"$885,728,741","$8,344,560,390"
Cosmos,ATOM,"Feb 09, 2022",$30.47,$31.43,$29.72,$30.90,"$651,907,951","$8,849,531,602"
Cosmos,ATOM,"Feb 08, 2022",$31.69,$32.57,$29.80,$30.48,"$894,342,029","$8,728,697,030"
Cosmos,ATOM,"Feb 07, 2022",$31.26,$33.07,$30.57,$31.67,"$1,093,242,287","$9,070,593,633"
Cosmos,ATOM,"Feb 06, 2022",$30.80,$31.92,$30.29,$31.25,"$684,648,763","$8,949,380,755"
Cosmos,ATOM,"Feb 05, 2022",$31.04,$32.21,$30.09,$30.80,"$829,252,543","$8,819,909,184"
Cosmos,ATOM,"Feb 04, 2022",$29.49,$31.26,$28.67,$31.03,"$1,126,937,840","$8,886,922,477"
Cosmos,ATOM,"Feb 03, 2022",$26.37,$29.67,$25.72,$29.48,"$1,048,569,003","$8,442,626,265"
Cosmos,ATOM,"Feb 02, 2022",$28.93,$28.97,$26.32,$26.38,"$658,502,563","$7,553,180,319"
Cosmos,ATOM,"Feb 01, 2022",$28.13,$29.77,$27.93,$28.94,"$918,688,610","$8,286,455,881"
Cosmos,ATOM,"Jan 31, 2022",$27.16,$28.86,$25.65,$28.14,"$899,819,138","$8,057,752,324"
Cosmos,ATOM,"Jan 30, 2022",$29.07,$29.15,$26.57,$27.16,"$779,886,725","$7,777,615,064"
Cosmos,ATOM,"Jan 29, 2022",$29.46,$30.15,$28.52,$29.07,"$891,306,136","$8,323,384,232"
