currency,ticker,date,open_price,high,low,close_price,volume,market_cap
Cronos,CRO,2022-02-26,0.4179,0.4263,0.4118,0.4138,90351075.0,10452967044.0
Cronos,CRO,2022-02-25,0.3945,0.4209,0.3945,0.4179,132609761.0,10556215610.0
Cronos,CRO,2022-02-24,0.399,0.4042,0.3477,0.3945,220041913.0,9965362895.0
Cronos,CRO,2022-02-23,0.404,0.4199,0.3963,0.3994,125535148.0,10088882959.0
Cronos,CRO,2022-02-22,0.3859,0.405,0.3711,0.404,135762941.0,10205910036.0
Cronos,CRO,2022-02-21,0.4045,0.4203,0.3849,0.3859,146932635.0,9750223928.0
Cronos,CRO,2022-02-20,0.4368,0.4393,0.4029,0.4046,110537230.0,10220452260.0
Cronos,CRO,2022-02-19,0.4352,0.4494,0.4344,0.4368,94871141.0,11035830275.0
Cronos,CRO,2022-02-18,0.4298,0.4572,0.4276,0.4353,170287754.0,10996572040.0
Cronos,CRO,2022-02-17,0.4796,0.4832,0.4278,0.4297,147199196.0,10856144365.0
Cronos,CRO,2022-02-16,0.4956,0.4956,0.4746,0.4798,117307800.0,12121864901.0
Cronos,CRO,2022-02-15,0.4705,0.5019,0.4644,0.4956,169259668.0,12520303490.0
Cronos,CRO,2022-02-14,0.5042,0.5055,0.4636,0.4705,224983356.0,11887463622.0
Cronos,CRO,2022-02-13,0.486,0.5179,0.4841,0.5047,239990699.0,12749364799.0
Cronos,CRO,2022-02-12,0.4797,0.496,0.4759,0.486,161447995.0,12278439326.0
Cronos,CRO,2022-02-11,0.5089,0.5233,0.4709,0.4797,202827818.0,12119257080.0
Cronos,CRO,2022-02-10,0.5146,0.5412,0.5002,0.509,269096210.0,12857820936.0
Cronos,CRO,2022-02-09,0.4874,0.5188,0.4781,0.5146,158048153.0,12999380901.0
Cronos,CRO,2022-02-08,0.4951,0.5167,0.4761,0.4874,240196690.0,12313085579.0
Cronos,CRO,2022-02-07,0.4616,0.5032,0.4565,0.4951,210209362.0,12507123740.0
Cronos,CRO,2022-02-06,0.4484,0.4616,0.445,0.4616,110825545.0,11661744342.0
Cronos,CRO,2022-02-05,0.4362,0.4599,0.4288,0.4486,147692054.0,11332461795.0
Cronos,CRO,2022-02-04,0.4019,0.4363,0.401,0.4362,127822374.0,11020035821.0
Cronos,CRO,2022-02-03,0.4029,0.4063,0.3924,0.4019,96901877.0,10153038780.0
Cronos,CRO,2022-02-02,0.4371,0.4371,0.4,0.4029,105887422.0,10178792889.0
Cronos,CRO,2022-02-01,0.4289,0.4377,0.4239,0.4371,118971896.0,11041936959.0
Cronos,CRO,2022-01-31,0.4241,0.431,0.403,0.429,126731864.0,10838572854.0
Cronos,CRO,2022-01-30,0.432,0.4399,0.4181,0.4241,106907594.0,10714256824.0
Cronos,CRO,2022-01-29,0.4212,0.4406,0.4167,0.432,127239735.0,10912799851.0
Cronos,CRO,2022-01-28,0.4003,0.4229,0.3902,0.4212,133891762.0,10640827081.0
