currency,ticker,date,open_price,high,low,close_price,volume,market_cap
Dai,DAI,2022-02-26,0.9997,1.0,0.999,1.0,205336506.0,9659728725.0
Dai,DAI,2022-02-25,1.0,1.0,0.999,0.9997,330433421.0,9670567963.0
Dai,DAI,2022-02-24,0.9995,1.0,0.998,1.0,646259155.0,9885095532.0
Dai,DAI,2022-02-23,1.0,1.0,0.9985,0.9995,334297814.0,10072492019.0
Dai,DAI,2022-02-22,0.9994,1.0,0.9983,1.0,358833503.0,10099648611.0
Dai,DAI,2022-02-21,0.9994,1.0,0.9985,0.9993,414712522.0,10155953509.0
Dai,DAI,2022-02-20,0.9997,1.0,0.9976,0.9994,272269069.0,10181659739.0
Dai,DAI,2022-02-19,0.9995,1.0,0.9987,0.9997,228115096.0,10203791470.0
Dai,DAI,2022-02-18,0.9991,1.0,0.9984,0.9995,324032810.0,10184581563.0
Dai,DAI,2022-02-17,0.9991,1.0,0.9982,0.9991,362312016.0,10213715784.0
Dai,DAI,2022-02-16,1.0,1.0,0.999,0.9991,297282124.0,10296291595.0
Dai,DAI,2022-02-15,0.9997,1.0,0.9992,1.0,343475775.0,10376305259.0
Dai,DAI,2022-02-14,0.9994,1.0,0.9988,0.9997,244726133.0,10235548002.0
Dai,DAI,2022-02-13,0.9999,1.0,0.9988,0.9994,181115043.0,10248068652.0
Dai,DAI,2022-02-12,1.0,1.0,0.9987,0.9999,283322887.0,10253604989.0
Dai,DAI,2022-02-11,0.9991,1.0,0.9983,1.0,460902599.0,10255882276.0
Dai,DAI,2022-02-10,0.9998,1.0,0.9986,0.9991,463814426.0,10224507719.0
Dai,DAI,2022-02-09,0.9996,1.0,0.9991,0.9999,319686505.0,10178391439.0
Dai,DAI,2022-02-08,1.0,1.0,0.9984,0.9996,438450428.0,10079582914.0
Dai,DAI,2022-02-07,1.0,1.0,0.9992,0.9999,399544172.0,9904753719.0
Dai,DAI,2022-02-06,0.9995,1.0,0.9992,1.0,220317986.0,9769608818.0
Dai,DAI,2022-02-05,1.0,1.0,0.9989,0.9995,362682891.0,9740722469.0
Dai,DAI,2022-02-04,1.0,1.0,0.9993,1.0,344473090.0,9647409784.0
Dai,DAI,2022-02-03,0.9998,1.0,0.9989,1.0,242035999.0,9613310907.0
Dai,DAI,2022-02-02,1.0,1.0,0.9988,0.9998,255058310.0,9648178414.0
Dai,DAI,2022-02-01,1.0,1.0,0.999,1.0,326302883.0,9627763706.0
Dai,DAI,2022-01-31,0.9998,1.0,0.999,1.0,275013830.0,9596144801.0
Dai,DAI,2022-01-30,1.0,1.0,0.999,0.9998,247227537.0,9630594039.0
Dai,DAI,2022-01-29,1.0,1.0,0.9991,1.0,370944328.0,9621821425.0
Dai,DAI,2022-01-28,1.0,1.0,0.9987,1.0,515009030.0,9582821062.0
Dai,DAI,2022-01-27,1.0,1.0,0.9985,1.0,670508135.0,9644948471.0
Dai,DAI,2022-01-26,1.0,1.0,0.9988,1.0,639636624.0,9823641362.0
Dai,DAI,2022-01-25,1.0,1.0,0.9992,1.0,446117860.0,9726134352.0
Dai,DAI,2022-01-24,1.0,1.0,0.9985,1.0,685793214.0,9764770499.0
Dai,DAI,2022-01-23,0.9999,1.0,0.9987,1.0,404965759.0,9619016838.0
Dai,DAI,2022-01-22,1.0,1.0,0.9985,1.0,984517239.0,9612306561.0
Dai,DAI,2022-01-21,0.9997,1.0,0.9974,1.0,925128860.0,9594506415.0
Dai,DAI,2022-01-20,0.9996,1.0,0.9987,0.9997,463356217.0,9758623589.0
Dai,DAI,2022-01-19,0.9997,1.0,0.9985,0.9996,451758676.0,9752375770.0
Dai,DAI,2022-01-18,0.9999,1.0,0.9987,0.9997,512219720.0,9693059987.0
Dai,DAI,2022-01-17,1.0,1.0,0.9986,0.9999,640642937.0,9681263898.0
Dai,DAI,2022-01-16,0.9994,1.0,0.9982,1.0,384353707.0,9615230808.0
Dai,DAI,2022-01-15,1.0,1.0,0.9986,0.9994,339498191.0,9527675651.0
Dai,DAI,2022-01-14,0.999,1.0,0.9984,1.0,361537640.0,9507809668.0
Dai,DAI,2022-01-13,1.0,1.0,0.9978,0.9989,468175817.0,9465129191.0
Dai,DAI,2022-01-12,1.0,1.0,0.9993,1.0,410906024.0,9433017929.0
Dai,DAI,2022-01-11,1.0,1.0,0.9988,1.0,469385653.0,9363869361.0
Dai,DAI,2022-01-10,0.9997,1.0,0.9983,1.0,691978522.0,9346525813.0
Dai,DAI,2022-01-09,0.9997,1.0,0.9989,0.9997,329184018.0,9284006049.0
Dai,DAI,2022-01-08,0.9995,1.0,0.9987,0.9997,526473838.0,9353210120.0
