currency,ticker,date,open_price,high,low,close_price,volume,market_cap
Dogecoin,DOGE,2022-02-26,0.1276,0.1301,0.1262,0.1276,535575654.0,16934990912.0
Dogecoin,DOGE,2022-02-25,0.1238,0.1282,0.121,0.1276,805161073.0,16925550870.0
Dogecoin,DOGE,2022-02-24,0.1278,0.1279,0.1096,0.1238,2046477370.0,16426325929.0
Dogecoin,DOGE,2022-02-23,0.1316,0.1353,0.1278,0.1278,587472906.0,16961450437.0
Dogecoin,DOGE,2022-02-22,0.1285,0.1317,0.1254,0.1316,711967119.0,17453195149.0
Dogecoin,DOGE,2022-02-21,0.1368,0.1413,0.1282,0.1285,913773124.0,17046906167.0
Dogecoin,DOGE,2022-02-20,0.1412,0.1412,0.1359,0.1369,490138547.0,18158368479.0
Dogecoin,DOGE,2022-02-19,0.1388,0.1459,0.1388,0.1412,655782652.0,18733858191.0
Dogecoin,DOGE,2022-02-18,0.1386,0.1421,0.137,0.1388,563817289.0,18410465958.0
Dogecoin,DOGE,2022-02-17,0.149,0.1499,0.1381,0.1386,721382126.0,18381811283.0
Dogecoin,DOGE,2022-02-16,0.1518,0.1518,0.1468,0.1491,505588732.0,19780608769.0
Dogecoin,DOGE,2022-02-15,0.146,0.1522,0.1452,0.1518,674961496.0,20134237626.0
Dogecoin,DOGE,2022-02-14,0.1489,0.1501,0.1436,0.146,898042727.0,19370268897.0
Dogecoin,DOGE,2022-02-13,0.1444,0.1574,0.144,0.1489,1581065491.0,19761029254.0
Dogecoin,DOGE,2022-02-12,0.1449,0.147,0.1417,0.1444,602699408.0,19158278829.0
Dogecoin,DOGE,2022-02-11,0.1519,0.1541,0.1433,0.1448,776730555.0,19216979542.0
Dogecoin,DOGE,2022-02-10,0.1591,0.1604,0.1515,0.1519,1053630584.0,20151243811.0
Dogecoin,DOGE,2022-02-09,0.1584,0.1607,0.155,0.1591,778670798.0,21110912244.0
Dogecoin,DOGE,2022-02-08,0.1656,0.1691,0.1537,0.1584,1190116000.0,21015761198.0
Dogecoin,DOGE,2022-02-07,0.1538,0.1716,0.1517,0.1656,1791358822.0,21967396206.0
Dogecoin,DOGE,2022-02-06,0.1471,0.1548,0.1453,0.1538,757004142.0,20400845319.0
Dogecoin,DOGE,2022-02-05,0.1475,0.1501,0.1454,0.1471,587009429.0,19521265248.0
Dogecoin,DOGE,2022-02-04,0.1375,0.1476,0.1373,0.1475,580740990.0,19569340520.0
Dogecoin,DOGE,2022-02-03,0.1372,0.1387,0.1356,0.1375,383506507.0,18247613017.0
Dogecoin,DOGE,2022-02-02,0.1426,0.1453,0.1369,0.1372,483194691.0,18207055087.0
Dogecoin,DOGE,2022-02-01,0.1418,0.1441,0.1411,0.1426,409432267.0,18922976039.0
Dogecoin,DOGE,2022-01-31,0.1395,0.1423,0.1369,0.1418,412307174.0,18813396718.0
Dogecoin,DOGE,2022-01-30,0.1431,0.1435,0.1388,0.1395,363976741.0,18503745857.0
Dogecoin,DOGE,2022-01-29,0.1416,0.144,0.1415,0.1431,397610776.0,18979306846.0
Dogecoin,DOGE,2022-01-28,0.1412,0.1424,0.1384,0.1417,506667466.0,18793645245.0
Dogecoin,DOGE,2022-01-27,0.1438,0.145,0.1369,0.1412,608707586.0,18739393113.0
Dogecoin,DOGE,2022-01-26,0.143,0.1526,0.1422,0.1438,1253108115.0,19076582110.0
Dogecoin,DOGE,2022-01-25,0.1378,0.1472,0.1332,0.143,1347567750.0,18978385083.0
Dogecoin,DOGE,2022-01-24,0.1419,0.142,0.1272,0.1378,1446873574.0,18281756841.0
Dogecoin,DOGE,2022-01-23,0.133,0.1431,0.1328,0.1419,1006234946.0,18821109378.0
Dogecoin,DOGE,2022-01-22,0.1427,0.145,0.1228,0.1329,1693524581.0,17630908217.0
Dogecoin,DOGE,2022-01-21,0.1553,0.1572,0.1415,0.1426,1163061854.0,18924184094.0
Dogecoin,DOGE,2022-01-20,0.1623,0.1688,0.1552,0.1552,469269658.0,20591006965.0
Dogecoin,DOGE,2022-01-19,0.1655,0.1686,0.1601,0.1624,935006164.0,21539828360.0
Dogecoin,DOGE,2022-01-18,0.1711,0.1738,0.1626,0.1655,979693368.0,21955041360.0
Dogecoin,DOGE,2022-01-17,0.1772,0.1779,0.1669,0.1711,1094379303.0,22705991526.0
Dogecoin,DOGE,2022-01-16,0.1851,0.1851,0.1753,0.1772,1102750171.0,23506016726.0
Dogecoin,DOGE,2022-01-15,0.1836,0.1936,0.1827,0.1851,1878282290.0,24557692458.0
Dogecoin,DOGE,2022-01-14,0.1721,0.2032,0.1713,0.1835,5784004926.0,24351532220.0
Dogecoin,DOGE,2022-01-13,0.1616,0.1748,0.1616,0.172,2301820074.0,22825039685.0
Dogecoin,DOGE,2022-01-12,0.1535,0.1617,0.1521,0.1617,896008600.0,21446441060.0
Dogecoin,DOGE,2022-01-11,0.1434,0.1646,0.1426,0.1534,1628447666.0,20351628612.0
Dogecoin,DOGE,2022-01-10,0.1511,0.1521,0.1398,0.1434,763684873.0,19019598833.0
Dogecoin,DOGE,2022-01-09,0.152,0.1537,0.1496,0.1511,408786249.0,20041892126.0
Dogecoin,DOGE,2022-01-08,0.155,0.1577,0.1477,0.152,584437036.0,20159802407.0
Dogecoin,DOGE,2022-01-07,0.1602,0.1603,0.1513,0.155,969384523.0,20567044267.0
Dogecoin,DOGE,2022-01-06,0.1594,0.1617,0.1551,0.1602,715345645.0,21255601396.0
