currency,ticker,date,open_price,high,low,close_price,volume,market_cap
Polkadot,DOT,2022-02-26,17.25,18.67,17.22,18.02,1418827902.0,17800681672.0
Polkadot,DOT,2022-02-25,16.17,17.41,15.84,17.25,1228501074.0,17036045208.0
Polkadot,DOT,2022-02-24,16.0,16.55,14.14,16.17,2249049472.0,15970062776.0
Polkadot,DOT,2022-02-23,16.57,17.4,15.97,16.01,1280516751.0,15810719771.0
Polkadot,DOT,2022-02-22,16.19,16.67,15.84,16.56,1116940496.0,16358536727.0
Polkadot,DOT,2022-02-21,16.93,17.7,16.1,16.19,1330919934.0,15991004130.0
Polkadot,DOT,2022-02-20,17.88,17.88,16.74,16.93,883758628.0,16720220594.0
Polkadot,DOT,2022-02-19,17.84,18.21,17.41,17.89,590901300.0,17670024926.0
Polkadot,DOT,2022-02-18,18.13,18.56,17.71,17.85,918690491.0,17624044527.0
Polkadot,DOT,2022-02-17,19.79,19.99,17.89,18.11,1081608217.0,17884983441.0
Polkadot,DOT,2022-02-16,20.15,20.17,19.12,19.8,890277874.0,19555210854.0
Polkadot,DOT,2022-02-15,18.71,20.27,18.67,20.14,891617857.0,19894466413.0
Polkadot,DOT,2022-02-14,18.81,18.9,18.08,18.71,834381954.0,18482304643.0
Polkadot,DOT,2022-02-13,18.82,19.26,18.45,18.83,741039938.0,18597584972.0
Polkadot,DOT,2022-02-12,18.97,19.4,18.39,18.82,982928210.0,18584998263.0
Polkadot,DOT,2022-02-11,20.62,20.72,18.68,18.96,1383736959.0,18726915345.0
Polkadot,DOT,2022-02-10,21.93,22.43,20.6,20.64,1497572222.0,20378752051.0
Polkadot,DOT,2022-02-09,21.68,22.21,21.14,21.93,952902519.0,21658021699.0
Polkadot,DOT,2022-02-08,22.37,23.13,21.11,21.69,1444549625.0,21419754153.0
Polkadot,DOT,2022-02-07,21.9,22.65,21.45,22.36,1356167813.0,22086726718.0
Polkadot,DOT,2022-02-06,21.37,21.9,20.92,21.9,830919540.0,21631280300.0
Polkadot,DOT,2022-02-05,20.44,22.25,20.35,21.37,1265231134.0,21101596793.0
Polkadot,DOT,2022-02-04,18.81,20.46,18.75,20.42,1110480504.0,20170974812.0
Polkadot,DOT,2022-02-03,18.79,18.84,18.1,18.81,906875219.0,18578842343.0
Polkadot,DOT,2022-02-02,19.62,20.53,18.72,18.8,1153269231.0,18563427018.0
Polkadot,DOT,2022-02-01,19.42,19.95,19.2,19.61,1068758718.0,19370583047.0
Polkadot,DOT,2022-01-31,18.17,19.55,17.2,19.42,1115684278.0,19179329187.0
Polkadot,DOT,2022-01-30,18.72,18.97,17.87,18.17,757967482.0,17946811831.0
Polkadot,DOT,2022-01-29,18.34,18.98,18.13,18.71,766547375.0,18477848039.0
Polkadot,DOT,2022-01-28,18.12,18.47,17.44,18.34,994677640.0,18111790312.0
Polkadot,DOT,2022-01-27,18.07,18.3,17.27,18.13,1134516099.0,17909565229.0
Polkadot,DOT,2022-01-26,18.34,19.94,17.64,18.08,1763129260.0,17852311852.0
Polkadot,DOT,2022-01-25,18.04,19.01,17.44,18.35,1511107520.0,18120743008.0
Polkadot,DOT,2022-01-24,18.83,18.83,15.98,18.04,2261885506.0,17812719382.0
Polkadot,DOT,2022-01-23,18.24,19.14,17.83,18.83,1570770653.0,18594909764.0
Polkadot,DOT,2022-01-22,19.66,20.07,16.53,18.23,2593516897.0,18003429666.0
Polkadot,DOT,2022-01-21,23.0,23.43,19.31,19.65,2158447179.0,19402273904.0
Polkadot,DOT,2022-01-20,24.13,25.56,22.98,22.98,897265226.0,22699398969.0
Polkadot,DOT,2022-01-19,25.17,25.29,23.81,24.13,1171940720.0,23829846982.0
Polkadot,DOT,2022-01-18,25.73,25.99,24.38,25.17,1349151568.0,24856312585.0
Polkadot,DOT,2022-01-17,27.67,27.72,25.24,25.73,1453899013.0,25407800220.0
Polkadot,DOT,2022-01-16,27.72,28.42,27.38,27.67,1280576659.0,27321509198.0
Polkadot,DOT,2022-01-15,27.72,28.38,26.94,27.74,1158992450.0,27392322840.0
Polkadot,DOT,2022-01-14,25.83,27.83,25.7,27.71,1801182212.0,27368651504.0
Polkadot,DOT,2022-01-13,27.32,27.59,25.83,25.83,1392401458.0,25508077150.0
Polkadot,DOT,2022-01-12,25.55,27.56,25.51,27.32,1416836455.0,26980168089.0
Polkadot,DOT,2022-01-11,23.78,25.96,23.58,25.54,1556234288.0,25226657070.0
Polkadot,DOT,2022-01-10,24.63,25.18,22.6,23.78,1693703473.0,23484694235.0
Polkadot,DOT,2022-01-09,24.03,25.29,23.84,24.63,1328484247.0,24321430602.0
Polkadot,DOT,2022-01-08,24.93,25.49,23.34,24.03,1546276235.0,23730670841.0
Polkadot,DOT,2022-01-07,26.75,26.81,24.46,24.93,2764194355.0,24615650591.0
Polkadot,DOT,2022-01-06,26.8,27.32,25.65,26.76,1444988536.0,26428435082.0
Polkadot,DOT,2022-01-05,28.79,30.32,25.52,26.8,1721841153.0,26463314354.0
Polkadot,DOT,2022-01-04,30.11,30.53,28.78,28.78,1433783811.0,28420292061.0
Polkadot,DOT,2022-01-03,29.72,30.83,28.75,30.11,1652854634.0,29731174496.0
Polkadot,DOT,2022-01-02,28.58,30.56,27.92,29.73,1217867246.0,29361884232.0
Polkadot,DOT,2022-01-01,26.72,28.58,26.71,28.58,769282646.0,28228553768.0
Polkadot,DOT,2021-12-31,27.57,28.06,26.36,26.72,1169307108.0,26387798239.0
Polkadot,DOT,2021-12-30,26.83,28.37,26.22,27.57,1238329221.0,27225379612.0
Polkadot,DOT,2021-12-29,27.87,28.92,26.56,26.74,1772776120.0,26412190147.0
Polkadot,DOT,2021-12-28,30.96,30.96,27.59,27.91,2373946823.0,27560476546.0
Polkadot,DOT,2021-12-27,31.32,32.77,30.84,30.91,1724296390.0,30524765895.0
Polkadot,DOT,2021-12-26,28.84,31.74,28.32,31.33,1627652480.0,30943660940.0
Polkadot,DOT,2021-12-25,28.16,29.14,28.01,28.84,721290103.0,28479573483.0
Polkadot,DOT,2021-12-24,29.15,29.67,27.88,28.14,1068526285.0,27789985732.0
Polkadot,DOT,2021-12-23,27.23,29.64,26.79,29.11,1466897164.0,28749513369.0
Polkadot,DOT,2021-12-22,25.19,28.21,25.02,27.22,1332894453.0,26878031989.0
Polkadot,DOT,2021-12-21,24.04,25.58,23.77,25.19,893276894.0,24881264842.0
Polkadot,DOT,2021-12-20,24.78,25.02,23.31,24.05,924598147.0,23751949221.0
Polkadot,DOT,2021-12-19,25.49,25.86,24.7,24.79,744698642.0,24483473497.0
Polkadot,DOT,2021-12-18,24.68,25.72,24.26,25.49,878905203.0,25174144309.0
Polkadot,DOT,2021-12-17,26.03,26.21,24.29,24.66,1134265516.0,24356694085.0
Polkadot,DOT,2021-12-16,27.15,27.8,25.77,26.04,1485488983.0,25719604205.0
Polkadot,DOT,2021-12-15,26.17,27.99,24.37,27.15,1580299615.0,26808590172.0
Polkadot,DOT,2021-12-14,25.95,26.69,25.09,26.17,1206987079.0,25843389034.0
Polkadot,DOT,2021-12-13,29.61,29.81,25.61,25.97,1292550086.0,25648527096.0
Polkadot,DOT,2021-12-12,27.76,30.02,27.36,29.61,897053031.0,29241216673.0
Polkadot,DOT,2021-12-11,26.47,28.15,25.92,27.77,1175903576.0,27429746856.0
Polkadot,DOT,2021-12-10,26.96,28.4,25.85,26.45,1357627514.0,26125338345.0
Polkadot,DOT,2021-12-09,29.78,30.11,26.86,26.95,1193183661.0,26617160219.0
Polkadot,DOT,2021-12-08,30.54,30.62,28.1,29.87,1356418902.0,29499486446.0
Polkadot,DOT,2021-12-07,28.23,31.44,27.79,30.54,1776628055.0,30164489132.0
