currency,ticker,date,open_price,high,low,close_price,volume,market_cap
Polygon,MATIC,"Feb 26, 2022",$1.55,$1.59,$1.51,$1.52,"$898,567,950","$11,422,057,534"
Polygon,MATIC,"Feb 25, 2022",$1.44,$1.57,$1.41,$1.55,"$1,599,951,072","$11,688,571,514"
Polygon,MATIC,"Feb 24, 2022",$1.44,$1.49,$1.25,$1.44,"$2,679,134,468","$10,851,434,529"
Polygon,MATIC,"Feb 23, 2022",$1.46,$1.59,$1.44,$1.44,"$1,457,761,250","$10,864,359,620"
Polygon,MATIC,"Feb 22, 2022",$1.41,$1.47,$1.36,$1.46,"$1,347,670,062","$11,030,835,895"
Polygon,MATIC,"Feb 21, 2022",$1.52,$1.61,$1.41,$1.41,"$1,583,251,489","$10,611,373,740"
Polygon,MATIC,"Feb 20, 2022",$1.63,$1.63,$1.50,$1.52,"$846,724,841","$11,417,788,007"
Polygon,MATIC,"Feb 19, 2022",$1.60,$1.64,$1.57,$1.63,"$641,146,699","$12,291,430,405"
Polygon,MATIC,"Feb 18, 2022",$1.66,$1.71,$1.59,$1.60,"$1,018,489,090","$12,017,852,079"
Polygon,MATIC,"Feb 17, 2022",$1.84,$1.86,$1.65,$1.66,"$1,137,626,487","$12,479,999,469"
Polygon,MATIC,"Feb 16, 2022",$1.86,$1.87,$1.76,$1.84,"$1,194,666,956","$13,848,281,275"
Polygon,MATIC,"Feb 15, 2022",$1.66,$1.87,$1.66,$1.86,"$1,226,641,281","$14,031,532,537"
Polygon,MATIC,"Feb 14, 2022",$1.67,$1.68,$1.60,$1.66,"$1,066,674,333","$12,403,882,624"
Polygon,MATIC,"Feb 13, 2022",$1.70,$1.72,$1.65,$1.67,"$692,184,777","$12,487,206,686"
Polygon,MATIC,"Feb 12, 2022",$1.71,$1.76,$1.65,$1.70,"$1,053,381,539","$12,707,706,992"
Polygon,MATIC,"Feb 11, 2022",$1.90,$1.90,$1.68,$1.71,"$1,779,123,711","$12,820,691,263"
Polygon,MATIC,"Feb 10, 2022",$2.04,$2.04,$1.89,$1.90,"$1,977,316,273","$14,176,036,418"
Polygon,MATIC,"Feb 09, 2022",$1.95,$2.06,$1.90,$2.04,"$1,429,153,482","$15,247,364,920"
Polygon,MATIC,"Feb 08, 2022",$2.02,$2.04,$1.87,$1.95,"$1,835,279,905","$14,538,743,902"
Polygon,MATIC,"Feb 07, 2022",$1.74,$2.08,$1.70,$2.02,"$2,150,764,551","$15,064,963,649"
Polygon,MATIC,"Feb 06, 2022",$1.71,$1.75,$1.67,$1.74,"$692,969,600","$12,981,893,615"
Polygon,MATIC,"Feb 05, 2022",$1.69,$1.75,$1.68,$1.71,"$917,069,286","$12,790,961,536"
Polygon,MATIC,"Feb 04, 2022",$1.55,$1.69,$1.54,$1.69,"$960,235,728","$12,615,403,261"
Polygon,MATIC,"Feb 03, 2022",$1.54,$1.55,$1.49,$1.55,"$806,820,755","$11,566,495,759"
Polygon,MATIC,"Feb 02, 2022",$1.65,$1.66,$1.53,$1.54,"$828,911,083","$11,504,114,370"
Polygon,MATIC,"Feb 01, 2022",$1.64,$1.68,$1.62,$1.65,"$945,559,197","$12,292,807,867"
Polygon,MATIC,"Jan 31, 2022",$1.61,$1.65,$1.53,$1.64,"$913,619,284","$12,265,406,996"
Polygon,MATIC,"Jan 30, 2022",$1.70,$1.71,$1.58,$1.61,"$823,938,936","$11,977,483,556"
Polygon,MATIC,"Jan 29, 2022",$1.68,$1.74,$1.66,$1.69,"$888,150,000","$12,646,249,138"
Polygon,MATIC,"Jan 28, 2022",$1.59,$1.70,$1.57,$1.68,"$1,490,168,757","$12,528,755,958"
Polygon,MATIC,"Jan 27, 2022",$1.59,$1.66,$1.50,$1.59,"$1,535,313,776","$11,875,658,059"
Polygon,MATIC,"Jan 26, 2022",$1.56,$1.81,$1.53,$1.59,"$2,349,315,414","$11,850,008,196"
Polygon,MATIC,"Jan 25, 2022",$1.51,$1.61,$1.42,$1.56,"$1,547,658,922","$11,607,819,864"
Polygon,MATIC,"Jan 24, 2022",$1.62,$1.62,$1.31,$1.51,"$2,369,012,535","$11,228,244,016"
Polygon,MATIC,"Jan 23, 2022",$1.53,$1.67,$1.52,$1.62,"$1,387,537,184","$12,037,638,848"
Polygon,MATIC,"Jan 22, 2022",$1.70,$1.75,$1.42,$1.53,"$2,427,596,173","$11,392,263,745"
Polygon,MATIC,"Jan 21, 2022",$1.96,$2.02,$1.66,$1.70,"$2,195,018,010","$12,645,400,138"
Polygon,MATIC,"Jan 20, 2022",$2.04,$2.19,$1.96,$1.96,"$824,202,447","$14,590,845,223"
Polygon,MATIC,"Jan 19, 2022",$2.13,$2.14,$2.02,$2.04,"$1,318,686,617","$15,072,129,001"
Polygon,MATIC,"Jan 18, 2022",$2.22,$2.24,$2.09,$2.13,"$1,475,708,073","$15,565,048,859"
Polygon,MATIC,"Jan 17, 2022",$2.33,$2.45,$2.17,$2.22,"$1,652,189,536","$16,249,026,707"
Polygon,MATIC,"Jan 16, 2022",$2.35,$2.37,$2.29,$2.33,"$750,509,306","$17,037,734,958"
Polygon,MATIC,"Jan 15, 2022",$2.34,$2.40,$2.31,$2.35,"$878,571,421","$17,212,302,128"
