currency,ticker,date,open_price,high,low,close_price,volume,market_cap
Shiba Inu,SHIB,2022-02-26,2.483e-05,2.571e-05,2.429e-05,2.442e-05,1099351580.0,13407920359.0
Shiba Inu,SHIB,2022-02-25,2.386e-05,2.502e-05,2.315e-05,2.483e-05,1740381961.0,13633916782.0
Shiba Inu,SHIB,2022-02-24,2.499e-05,2.507e-05,2.087e-05,2.387e-05,3275038601.0,13105005934.0
Shiba Inu,SHIB,2022-02-23,2.496e-05,2.703e-05,2.466e-05,2.499e-05,1728129985.0,13722000038.0
Shiba Inu,SHIB,2022-02-22,2.408e-05,2.513e-05,2.325e-05,2.496e-05,1524043647.0,13705662514.0
Shiba Inu,SHIB,2022-02-21,2.551e-05,2.745e-05,2.405e-05,2.407e-05,2001180593.0,13217016788.0
Shiba Inu,SHIB,2022-02-20,2.751e-05,2.754e-05,2.502e-05,2.551e-05,1235841144.0,14007748881.0
Shiba Inu,SHIB,2022-02-19,2.814e-05,2.888e-05,2.716e-05,2.751e-05,929189862.0,15105710767.0
Shiba Inu,SHIB,2022-02-18,2.817e-05,2.989e-05,2.792e-05,2.815e-05,1458694142.0,15455107417.0
Shiba Inu,SHIB,2022-02-17,3.092e-05,3.232e-05,2.79e-05,2.815e-05,2067544526.0,15453784566.0
Shiba Inu,SHIB,2022-02-16,3.125e-05,3.144e-05,3.01e-05,3.093e-05,1350071541.0,16980455091.0
Shiba Inu,SHIB,2022-02-15,2.959e-05,3.168e-05,2.959e-05,3.124e-05,1602354887.0,17154816279.0
Shiba Inu,SHIB,2022-02-14,3.023e-05,3.075e-05,2.879e-05,2.958e-05,1558119657.0,16242599694.0
Shiba Inu,SHIB,2022-02-13,2.908e-05,3.204e-05,2.854e-05,3.027e-05,2065365631.0,16622010390.0
Shiba Inu,SHIB,2022-02-12,2.868e-05,2.978e-05,2.774e-05,2.909e-05,1683120664.0,15973139523.0
Shiba Inu,SHIB,2022-02-11,3.084e-05,3.223e-05,2.81e-05,2.867e-05,2012806768.0,15742431641.0
Shiba Inu,SHIB,2022-02-10,3.286e-05,3.36e-05,3.069e-05,3.084e-05,2546459745.0,16930856525.0
Shiba Inu,SHIB,2022-02-09,3.104e-05,3.387e-05,3.059e-05,3.284e-05,2365650708.0,18030336670.0
Shiba Inu,SHIB,2022-02-08,3.258e-05,3.49e-05,2.953e-05,3.107e-05,3618590002.0,17061230337.0
Shiba Inu,SHIB,2022-02-07,2.845e-05,3.493e-05,2.727e-05,3.255e-05,4764331366.0,17870122155.0
Shiba Inu,SHIB,2022-02-06,2.252e-05,2.841e-05,2.237e-05,2.841e-05,2156462842.0,15596217121.0
Shiba Inu,SHIB,2022-02-05,2.219e-05,2.378e-05,2.209e-05,2.251e-05,842566055.0,12362147307.0
Shiba Inu,SHIB,2022-02-04,2.068e-05,2.223e-05,2.056e-05,2.219e-05,609855710.0,12184092079.0
Shiba Inu,SHIB,2022-02-03,2.062e-05,2.079e-05,2.021e-05,2.069e-05,421850042.0,11358234375.0
Shiba Inu,SHIB,2022-02-02,2.173e-05,2.185e-05,2.047e-05,2.063e-05,484518640.0,11326230298.0
Shiba Inu,SHIB,2022-02-01,2.143e-05,2.197e-05,2.118e-05,2.174e-05,519254046.0,11934872725.0
Shiba Inu,SHIB,2022-01-31,2.11e-05,2.154e-05,2.026e-05,2.143e-05,531285879.0,11764748944.0
Shiba Inu,SHIB,2022-01-30,2.163e-05,2.213e-05,2.093e-05,2.109e-05,488342024.0,11581538525.0
Shiba Inu,SHIB,2022-01-29,2.131e-05,2.222e-05,2.121e-05,2.162e-05,551033703.0,11869150548.0
Shiba Inu,SHIB,2022-01-28,2.127e-05,2.139e-05,2.041e-05,2.131e-05,538455794.0,11703251838.0
Shiba Inu,SHIB,2022-01-27,2.115e-05,2.16e-05,2.008e-05,2.128e-05,890469542.0,11683051726.0
Shiba Inu,SHIB,2022-01-26,2.106e-05,2.338e-05,2.058e-05,2.117e-05,1155008423.0,11623395387.0
Shiba Inu,SHIB,2022-01-25,2.12e-05,2.157e-05,2.028e-05,2.107e-05,1047337942.0,11567450308.0
Shiba Inu,SHIB,2022-01-24,2.245e-05,2.286e-05,1.884e-05,2.12e-05,1924476636.0,11641287546.0
Shiba Inu,SHIB,2022-01-23,2.052e-05,2.354e-05,2.052e-05,2.245e-05,1957464251.0,12325072655.0
Shiba Inu,SHIB,2022-01-22,2.224e-05,2.244e-05,1.744e-05,2.051e-05,2140529993.0,11262143262.0
Shiba Inu,SHIB,2022-01-21,2.645e-05,2.677e-05,2.196e-05,2.223e-05,1422249920.0,12204919395.0
Shiba Inu,SHIB,2022-01-20,2.734e-05,2.871e-05,2.643e-05,2.644e-05,380410746.0,14514579020.0
Shiba Inu,SHIB,2022-01-19,2.813e-05,2.824e-05,2.722e-05,2.734e-05,644592746.0,15012072817.0
Shiba Inu,SHIB,2022-01-18,2.882e-05,2.945e-05,2.754e-05,2.813e-05,817784966.0,15446970050.0
Shiba Inu,SHIB,2022-01-17,3.052e-05,3.057e-05,2.841e-05,2.882e-05,758868918.0,15822970157.0
Shiba Inu,SHIB,2022-01-16,3.088e-05,3.094e-05,3.019e-05,3.052e-05,613620998.0,16757400982.0
Shiba Inu,SHIB,2022-01-15,3.085e-05,3.146e-05,3.067e-05,3.088e-05,697319385.0,16956487945.0
Shiba Inu,SHIB,2022-01-14,2.965e-05,3.247e-05,2.942e-05,3.085e-05,1538750911.0,16938470839.0
Shiba Inu,SHIB,2022-01-13,3.17e-05,3.255e-05,2.931e-05,2.964e-05,1435576624.0,16273870573.0
Shiba Inu,SHIB,2022-01-12,2.77e-05,3.24e-05,2.765e-05,3.172e-05,1541810685.0,17416089292.0
Shiba Inu,SHIB,2022-01-11,2.678e-05,2.818e-05,2.645e-05,2.77e-05,856528185.0,15207333361.0
Shiba Inu,SHIB,2022-01-10,2.833e-05,2.869e-05,2.567e-05,2.678e-05,1044022667.0,14704911995.0
Shiba Inu,SHIB,2022-01-09,2.779e-05,2.905e-05,2.762e-05,2.833e-05,741130328.0,15553511774.0
Shiba Inu,SHIB,2022-01-08,2.901e-05,2.987e-05,2.683e-05,2.779e-05,1081101278.0,15257928180.0
Shiba Inu,SHIB,2022-01-07,3.075e-05,3.082e-05,2.873e-05,2.901e-05,1169467775.0,15931057953.0
Shiba Inu,SHIB,2022-01-06,3.044e-05,3.165e-05,2.937e-05,3.076e-05,1172523092.0,16887454459.0
Shiba Inu,SHIB,2022-01-05,3.247e-05,3.294e-05,2.903e-05,3.046e-05,1138566779.0,16722624279.0
Shiba Inu,SHIB,2022-01-04,3.308e-05,3.346e-05,3.247e-05,3.249e-05,717218977.0,17837039432.0
Shiba Inu,SHIB,2022-01-03,3.404e-05,3.407e-05,3.238e-05,3.309e-05,720676202.0,18168398066.0
Shiba Inu,SHIB,2022-01-02,3.413e-05,3.441e-05,3.355e-05,3.404e-05,574109134.0,18692252748.0
Shiba Inu,SHIB,2022-01-01,3.342e-05,3.415e-05,3.341e-05,3.414e-05,608789558.0,18742539593.0
Shiba Inu,SHIB,2021-12-31,3.379e-05,3.454e-05,3.288e-05,3.341e-05,934738093.0,18345763036.0
Shiba Inu,SHIB,2021-12-30,3.367e-05,3.436e-05,3.297e-05,3.378e-05,989363049.0,18549279007.0
Shiba Inu,SHIB,2021-12-29,3.495e-05,3.623e-05,3.32e-05,3.363e-05,1210252540.0,18462658538.0
Shiba Inu,SHIB,2021-12-28,3.906e-05,3.906e-05,3.427e-05,3.494e-05,1817436004.0,19186725256.0
Shiba Inu,SHIB,2021-12-27,3.828e-05,3.945e-05,3.777e-05,3.897e-05,1265319187.0,21395866527.0
Shiba Inu,SHIB,2021-12-26,3.773e-05,3.879e-05,3.671e-05,3.831e-05,1212604991.0,21036265565.0
Shiba Inu,SHIB,2021-12-25,3.626e-05,3.833e-05,3.605e-05,3.771e-05,1127932936.0,20704095048.0
Shiba Inu,SHIB,2021-12-24,3.865e-05,3.985e-05,3.586e-05,3.619e-05,2060282601.0,19868788403.0
Shiba Inu,SHIB,2021-12-23,3.506e-05,3.89e-05,3.449e-05,3.859e-05,2040585378.0,21187499774.0
Shiba Inu,SHIB,2021-12-22,3.289e-05,3.765e-05,3.257e-05,3.505e-05,2281163530.0,19245115958.0
Shiba Inu,SHIB,2021-12-21,3.123e-05,3.335e-05,3.101e-05,3.291e-05,1375249878.0,18068777573.0
Shiba Inu,SHIB,2021-12-20,3.078e-05,3.347e-05,2.831e-05,3.12e-05,1811009989.0,17129616417.0
Shiba Inu,SHIB,2021-12-19,3.141e-05,3.188e-05,3.068e-05,3.079e-05,614447517.0,16906095916.0
Shiba Inu,SHIB,2021-12-18,3.122e-05,3.217e-05,3.082e-05,3.143e-05,709723245.0,17255843111.0
Shiba Inu,SHIB,2021-12-17,3.271e-05,3.313e-05,3.03e-05,3.122e-05,1162002333.0,17140694755.0
Shiba Inu,SHIB,2021-12-16,3.383e-05,3.461e-05,3.27e-05,3.28e-05,996204378.0,18007048709.0
Shiba Inu,SHIB,2021-12-15,3.399e-05,3.434e-05,3.215e-05,3.386e-05,1184733848.0,18589864799.0
Shiba Inu,SHIB,2021-12-14,3.294e-05,3.561e-05,3.251e-05,3.4e-05,1476971270.0,18669418988.0
Shiba Inu,SHIB,2021-12-13,3.665e-05,3.682e-05,3.18e-05,3.293e-05,1464806802.0,18082852490.0
Shiba Inu,SHIB,2021-12-12,3.44e-05,3.782e-05,3.384e-05,3.665e-05,1460048877.0,20121128552.0
Shiba Inu,SHIB,2021-12-11,3.354e-05,3.498e-05,3.316e-05,3.442e-05,940194089.0,18900184557.0
Shiba Inu,SHIB,2021-12-10,3.473e-05,3.611e-05,3.341e-05,3.357e-05,1033903140.0,18430328959.0
Shiba Inu,SHIB,2021-12-09,3.693e-05,3.73e-05,3.423e-05,3.472e-05,1123882103.0,19064824392.0
Shiba Inu,SHIB,2021-12-08,3.631e-05,3.76e-05,3.569e-05,3.692e-05,1257581860.0,20271688843.0
Shiba Inu,SHIB,2021-12-07,3.685e-05,3.876e-05,3.583e-05,3.631e-05,1844522891.0,19932162270.0
Shiba Inu,SHIB,2021-12-06,3.619e-05,3.757e-05,3.283e-05,3.693e-05,2321209665.0,20275974411.0
Shiba Inu,SHIB,2021-12-05,3.642e-05,3.814e-05,3.441e-05,3.622e-05,2307804650.0,19887113761.0
Shiba Inu,SHIB,2021-12-04,4.052e-05,4.052e-05,3.014e-05,3.652e-05,3873494147.0,20047271133.0
Shiba Inu,SHIB,2021-12-03,4.22e-05,4.479e-05,3.959e-05,4.041e-05,2740977676.0,22185182616.0
