currency,ticker,date,open_price,high,low,close_price,volume,market_cap
Solana,SOL,"Feb 26, 2022",$92.61,$94.60,$89.76,$90.14,"$1,721,041,901","$28,838,878,173"
Solana,SOL,"Feb 25, 2022",$89.23,$94.78,$87.28,$92.60,"$3,069,242,551","$29,625,083,071"
Solana,SOL,"Feb 24, 2022",$84.86,$92.28,$76.86,$89.19,"$5,253,578,948","$28,536,069,022"
Solana,SOL,"Feb 23, 2022",$86.47,$92.74,$84.90,$84.90,"$2,293,962,445","$27,151,072,802"
Solana,SOL,"Feb 22, 2022",$83.11,$87.16,$81.20,$86.47,"$2,046,554,018","$27,650,979,801"
Solana,SOL,"Feb 21, 2022",$90.88,$95.90,$83.12,$83.12,"$2,892,900,595","$26,582,210,816"
Solana,SOL,"Feb 20, 2022",$91.44,$93.32,$86.02,$90.90,"$1,912,980,153","$29,057,463,086"
Solana,SOL,"Feb 19, 2022",$90.05,$92.54,$88.95,$91.50,"$1,084,605,729","$29,247,783,191"
Solana,SOL,"Feb 18, 2022",$93.46,$96.20,$89.71,$90.07,"$1,669,246,812","$28,790,343,297"
Solana,SOL,"Feb 17, 2022",$101.90,$102.63,$92.68,$93.41,"$1,872,498,133","$29,847,059,424"
Solana,SOL,"Feb 16, 2022",$104.93,$105.35,$98.58,$101.93,"$1,908,954,820","$32,541,672,670"
Solana,SOL,"Feb 15, 2022",$96.44,$105.29,$96.43,$104.87,"$2,134,576,044","$33,474,369,632"
Solana,SOL,"Feb 14, 2022",$93.19,$97.74,$91.21,$96.43,"$1,787,236,369","$30,767,492,262"
Solana,SOL,"Feb 13, 2022",$95.89,$97.21,$91.82,$93.24,"$1,150,014,559","$29,629,765,454"
Solana,SOL,"Feb 12, 2022",$96.40,$99.55,$93.50,$95.92,"$1,722,515,979","$30,479,311,443"
Solana,SOL,"Feb 11, 2022",$106.23,$107.85,$95.60,$96.38,"$2,244,853,464","$30,613,785,508"
Solana,SOL,"Feb 10, 2022",$114.02,$114.79,$106.20,$106.20,"$2,534,257,400","$33,715,605,751"
