currency,ticker,date,open_price,high,low,close_price,volume,market_cap
TerraUSD,UST,"Feb 26, 2022",$1.00,$1.01,$0.9997,$1.00,"$487,883,181","$12,735,970,415"
TerraUSD,UST,"Feb 25, 2022",$1.00,$1.02,$1.00,$1.00,"$589,360,458","$12,618,554,684"
TerraUSD,UST,"Feb 24, 2022",$1.00,$1.01,$0.991,$1.00,"$815,186,445","$12,466,126,564"
TerraUSD,UST,"Feb 23, 2022",$1.00,$1.01,$0.9993,$1.00,"$504,447,658","$12,361,418,288"
TerraUSD,UST,"Feb 22, 2022",$1.00,$1.01,$0.9984,$1.00,"$417,702,652","$12,264,099,729"
TerraUSD,UST,"Feb 21, 2022",$1.00,$1.01,$0.9988,$1.00,"$446,456,031","$12,157,283,586"
TerraUSD,UST,"Feb 20, 2022",$1.00,$1.01,$0.9988,$1.00,"$323,113,697","$12,073,172,507"
TerraUSD,UST,"Feb 19, 2022",$1.00,$1.01,$0.9989,$1.00,"$273,702,125","$12,084,762,648"
TerraUSD,UST,"Feb 18, 2022",$1.00,$1.01,$0.9993,$1.00,"$397,256,617","$11,983,882,945"
TerraUSD,UST,"Feb 17, 2022",$0.9991,$1.00,$0.9975,$1.00,"$350,189,041","$11,824,781,835"
TerraUSD,UST,"Feb 16, 2022",$0.9999,$1.00,$0.9973,$0.9993,"$360,210,747","$11,708,671,450"
TerraUSD,UST,"Feb 15, 2022",$1.00,$1.00,$0.9973,$0.9997,"$406,108,093","$11,631,033,874"
TerraUSD,UST,"Feb 14, 2022",$1.00,$1.00,$0.9953,$1.00,"$309,047,532","$11,579,339,469"
TerraUSD,UST,"Feb 13, 2022",$1.00,$1.01,$0.9975,$1.00,"$221,814,981","$11,501,488,897"
TerraUSD,UST,"Feb 12, 2022",$1.00,$1.00,$0.9997,$1.00,"$243,428,856","$11,435,155,165"
TerraUSD,UST,"Feb 11, 2022",$1.00,$1.01,$0.9974,$1.00,"$323,978,341","$11,345,945,409"
TerraUSD,UST,"Feb 10, 2022",$0.9999,$1.00,$0.9973,$1.00,"$320,751,877","$11,280,420,115"
TerraUSD,UST,"Feb 09, 2022",$0.9999,$1.00,$0.9975,$0.9999,"$224,315,814","$11,255,788,313"
TerraUSD,UST,"Feb 08, 2022",$1.00,$1.00,$0.9974,$1.00,"$309,046,890","$11,256,712,770"
