currency,ticker,date,open_price,high,low,close_price,volume,market_cap
Terra,LUNA,2022-02-26,73.16,79.51,72.42,78.08,3159163058.0,29621245348.0
Terra,LUNA,2022-02-25,65.37,73.29,64.06,73.17,4158265095.0,27868114968.0
Terra,LUNA,2022-02-24,59.63,65.46,50.52,65.39,6147402521.0,25017719459.0
Terra,LUNA,2022-02-23,54.77,63.99,54.71,59.65,3103073199.0,22977426376.0
Terra,LUNA,2022-02-22,50.16,55.25,48.59,54.78,2312184928.0,21195466382.0
Terra,LUNA,2022-02-21,49.35,53.61,49.02,50.18,2011987505.0,19482679629.0
Terra,LUNA,2022-02-20,50.44,50.66,47.48,49.36,1092855688.0,19226836917.0
Terra,LUNA,2022-02-19,50.7,52.82,50.12,50.43,881733436.0,19670261385.0
Terra,LUNA,2022-02-18,50.27,51.8,49.23,50.73,1263578810.0,19887151941.0
Terra,LUNA,2022-02-17,56.03,56.95,50.22,50.25,1165569230.0,19821801772.0
Terra,LUNA,2022-02-16,56.81,58.18,55.23,56.06,963196469.0,22203787935.0
Terra,LUNA,2022-02-15,53.86,56.98,53.81,56.81,1116001640.0,22580748407.0
Terra,LUNA,2022-02-14,51.76,54.47,51.57,53.85,1188035703.0,21475672814.0
Terra,LUNA,2022-02-13,52.01,53.68,51.1,51.79,879534650.0,20575427609.0
Terra,LUNA,2022-02-12,50.39,53.57,49.58,52.0,1242345746.0,20732710633.0
Terra,LUNA,2022-02-11,52.21,54.76,50.01,50.39,1668320882.0,20166929922.0
Terra,LUNA,2022-02-10,57.34,57.53,52.1,52.17,2020644023.0,20941543527.0
Terra,LUNA,2022-02-09,57.26,57.87,54.63,57.29,1369057270.0,22993560423.0
Terra,LUNA,2022-02-08,59.49,59.79,55.14,57.29,1900551969.0,22992841139.0
Terra,LUNA,2022-02-07,56.1,60.56,54.51,59.47,2145919403.0,23858556765.0
Terra,LUNA,2022-02-06,55.4,57.16,53.39,56.1,1300455898.0,22492358594.0
Terra,LUNA,2022-02-05,53.92,57.91,53.56,55.37,1974965818.0,22199250933.0
Terra,LUNA,2022-02-04,50.95,53.89,49.33,53.89,2017445569.0,21602021597.0
Terra,LUNA,2022-02-03,47.55,51.37,46.65,51.03,1708879754.0,20447193968.0
Terra,LUNA,2022-02-02,52.04,53.37,47.45,47.57,1684337257.0,19063904000.0
Terra,LUNA,2022-02-01,52.27,53.99,50.82,52.02,1901818935.0,20853950523.0
Terra,LUNA,2022-01-31,46.31,52.37,43.57,52.34,2522178621.0,20974931807.0
Terra,LUNA,2022-01-30,50.83,51.24,45.61,46.27,1589568944.0,18545785693.0
Terra,LUNA,2022-01-29,50.6,53.53,50.34,50.79,2190728655.0,20361122029.0
Terra,LUNA,2022-01-28,54.27,55.19,47.72,50.6,3337573995.0,20273301828.0
Terra,LUNA,2022-01-27,58.83,61.25,50.99,54.32,2296699260.0,21781385852.0
Terra,LUNA,2022-01-26,62.82,66.18,58.08,58.84,2865279574.0,23643379341.0
Terra,LUNA,2022-01-25,65.97,66.74,62.02,62.83,2595272077.0,25254791133.0
Terra,LUNA,2022-01-24,69.76,69.77,59.46,65.97,4266933267.0,26533998032.0
Terra,LUNA,2022-01-23,62.69,70.05,62.69,69.79,2761811982.0,28144622469.0
Terra,LUNA,2022-01-22,64.88,65.78,54.35,62.57,4383257980.0,25322234538.0
Terra,LUNA,2022-01-21,77.14,80.55,62.16,64.84,3814759779.0,23067562970.0
Terra,LUNA,2022-01-20,81.26,84.83,76.46,76.99,1145730437.0,27485414822.0
Terra,LUNA,2022-01-19,80.61,81.92,75.98,81.25,2094065955.0,29039621483.0
Terra,LUNA,2022-01-18,77.16,81.31,74.16,80.57,2126201592.0,28841926603.0
Terra,LUNA,2022-01-17,87.02,87.14,76.08,77.18,1858065127.0,27632715825.0
Terra,LUNA,2022-01-16,87.51,87.52,84.8,86.96,1423445475.0,31185198012.0
Terra,LUNA,2022-01-15,81.6,87.8,80.56,87.57,1586855347.0,31440738502.0
Terra,LUNA,2022-01-14,78.06,82.95,76.76,81.63,1828747076.0,29322521129.0
Terra,LUNA,2022-01-13,82.03,83.77,78.0,78.0,2445145680.0,27814111078.0
Terra,LUNA,2022-01-12,73.64,82.91,72.59,82.07,2508763810.0,29301624229.0
Terra,LUNA,2022-01-11,69.45,74.88,68.49,73.67,2026652480.0,26313326423.0
Terra,LUNA,2022-01-10,74.49,74.49,65.66,69.45,2852394573.0,24846080429.0
Terra,LUNA,2022-01-09,66.95,75.55,65.88,74.48,2317080034.0,26692037535.0
Terra,LUNA,2022-01-08,68.72,71.57,62.88,66.93,2330265265.0,23989418206.0
Terra,LUNA,2022-01-07,78.48,78.61,68.57,68.67,3323322055.0,24624044148.0
Terra,LUNA,2022-01-06,78.58,80.23,74.38,78.44,2115914311.0,28161441399.0
Terra,LUNA,2022-01-05,84.58,87.34,74.14,78.59,2186902547.0,28253414359.0
Terra,LUNA,2022-01-04,88.8,89.44,84.57,84.58,1648664157.0,30443069521.0
Terra,LUNA,2022-01-03,89.38,93.79,88.69,88.75,1769621856.0,32025873981.0
Terra,LUNA,2022-01-02,91.4,92.48,88.3,89.37,1332237742.0,32335168165.0
Terra,LUNA,2022-01-01,85.51,91.51,85.51,91.36,1533679848.0,33053437381.0
Terra,LUNA,2021-12-31,84.77,90.9,84.18,85.47,2046640966.0,30922351070.0
Terra,LUNA,2021-12-30,84.1,87.76,81.08,84.71,2142642372.0,30667157583.0
Terra,LUNA,2021-12-29,85.21,87.73,82.69,84.06,2573529251.0,30459294937.0
Terra,LUNA,2021-12-28,90.85,93.64,83.67,85.37,3402432487.0,30960298694.0
Terra,LUNA,2021-12-27,99.56,103.33,89.82,90.8,2986686990.0,32955737524.0
Terra,LUNA,2021-12-26,98.25,100.86,95.97,99.72,2316030431.0,36262543328.0
Terra,LUNA,2021-12-25,95.83,100.93,95.41,98.18,2719645648.0,35766128646.0
Terra,LUNA,2021-12-24,94.2,101.27,93.86,95.97,3887299961.0,35074946311.0
Terra,LUNA,2021-12-23,85.37,95.04,84.49,93.85,3941887685.0,34456377975.0
Terra,LUNA,2021-12-22,87.3,97.88,84.54,85.48,4658621232.0,31512674410.0
Terra,LUNA,2021-12-21,81.92,88.9,79.69,87.45,3025504029.0,32396133628.0
Terra,LUNA,2021-12-20,78.21,82.56,72.29,82.07,4116185091.0,30550192156.0
Terra,LUNA,2021-12-19,74.24,78.78,72.35,78.23,2292707388.0,29259639595.0
Terra,LUNA,2021-12-18,65.73,74.0,62.41,74.0,2114385682.0,27742412135.0
Terra,LUNA,2021-12-17,64.22,68.95,60.82,65.71,1975391453.0,24715389880.0
Terra,LUNA,2021-12-16,61.67,68.01,61.1,64.32,1919582737.0,24202851315.0
Terra,LUNA,2021-12-15,60.18,63.99,54.48,61.53,2167599311.0,23151030077.0
Terra,LUNA,2021-12-14,52.83,60.54,52.38,57.28,2466163255.0,21580950141.0
Terra,LUNA,2021-12-13,62.03,62.49,52.52,52.75,1883487110.0,19913349878.0
Terra,LUNA,2021-12-12,60.09,62.52,57.59,61.92,1424627922.0,23430129954.0
Terra,LUNA,2021-12-11,60.99,63.86,57.82,59.98,1958065105.0,22718139559.0
Terra,LUNA,2021-12-10,66.53,71.94,60.55,60.93,2603599691.0,23081785080.0
Terra,LUNA,2021-12-09,74.98,76.48,65.69,66.48,2964505735.0,25249721551.0
Terra,LUNA,2021-12-08,68.78,75.79,65.37,75.04,2701933809.0,28605583673.0
Terra,LUNA,2021-12-07,67.24,74.43,65.72,68.98,2996218671.0,26428124894.0
Terra,LUNA,2021-12-06,68.15,68.29,59.97,67.29,4041694460.0,25847539653.0
Terra,LUNA,2021-12-05,75.11,78.19,65.58,68.11,4569096546.0,26270930242.0
Terra,LUNA,2021-12-04,63.66,78.06,50.18,75.56,5655306465.0,29300011878.0
Terra,LUNA,2021-12-03,66.32,70.4,63.27,63.34,2679583113.0,24490346892.0
Terra,LUNA,2021-12-02,64.07,66.21,61.3,66.18,2352185242.0,25702617285.0
Terra,LUNA,2021-12-01,59.63,64.79,55.82,64.23,2289911025.0,25043380158.0
Terra,LUNA,2021-11-30,51.67,60.07,50.56,59.72,2490127674.0,23349087738.0
Terra,LUNA,2021-11-29,50.15,52.84,47.69,51.7,1406805745.0,20260435121.0
Terra,LUNA,2021-11-28,43.96,50.17,42.29,50.1,2095741475.0,19698712520.0
Terra,LUNA,2021-11-27,41.03,44.33,40.91,43.89,776747335.0,17311830252.0
Terra,LUNA,2021-11-26,43.54,45.06,38.1,40.77,1558835495.0,16135323901.0
Terra,LUNA,2021-11-25,38.58,43.77,38.4,40.05,805934946.0,15961274866.0
Terra,LUNA,2021-11-24,42.7,43.06,37.92,41.36,630703839.0,16501279231.0
Terra,LUNA,2021-11-23,41.11,43.38,39.94,42.69,630251536.0,17032021534.0
Terra,LUNA,2021-11-22,43.55,43.9,40.45,41.07,758565968.0,16400019062.0
Terra,LUNA,2021-11-21,45.18,45.37,42.65,43.6,560747252.0,17424097190.0
Terra,LUNA,2021-11-20,42.43,45.44,41.47,45.12,676350983.0,18030190601.0
Terra,LUNA,2021-11-19,40.21,43.49,39.65,42.42,886790582.0,17229179372.0
Terra,LUNA,2021-11-18,43.24,45.1,38.95,40.28,1328419061.0,16712850197.0
Terra,LUNA,2021-11-17,43.26,43.86,40.54,43.15,1070057759.0,18273447841.0
Terra,LUNA,2021-11-16,48.18,48.18,41.31,43.25,1306541128.0,18686861951.0
Terra,LUNA,2021-11-15,51.08,51.54,48.04,48.05,500668396.0,21162291382.0
Terra,LUNA,2021-11-14,52.08,52.47,49.11,51.07,417524170.0,22934566871.0
Terra,LUNA,2021-11-13,49.56,53.38,48.46,52.17,573207316.0,23867815089.0
Terra,LUNA,2021-11-12,50.47,50.64,47.04,49.56,809639806.0,23088093945.0
Terra,LUNA,2021-11-11,48.79,51.9,47.6,50.6,901227769.0,24035916149.0
Terra,LUNA,2021-11-10,50.23,54.68,44.54,48.79,1387394913.0,23591291166.0
Terra,LUNA,2021-11-09,54.12,54.13,50.06,50.24,782405470.0,20047147304.0
Terra,LUNA,2021-11-08,50.58,54.77,49.73,54.16,983210921.0,21611655257.0
Terra,LUNA,2021-11-07,51.25,52.63,50.48,50.61,537619575.0,20200920571.0
Terra,LUNA,2021-11-06,49.97,51.18,47.54,51.18,663787147.0,20428667017.0
Terra,LUNA,2021-11-05,51.96,52.99,48.87,49.97,890950359.0,19947478575.0
Terra,LUNA,2021-11-04,47.99,52.17,46.16,51.92,1409802677.0,20744378607.0
Terra,LUNA,2021-11-03,44.77,49.71,43.91,48.06,1387485594.0,19218142155.0
Terra,LUNA,2021-11-02,44.09,45.49,42.79,44.76,586225495.0,17906111861.0
Terra,LUNA,2021-11-01,42.88,44.35,41.59,44.06,559201533.0,17636177669.0
Terra,LUNA,2021-10-31,43.26,43.64,41.27,42.89,533866227.0,17185456899.0
Terra,LUNA,2021-10-30,45.62,45.71,42.54,43.34,492508763.0,17366915389.0
Terra,LUNA,2021-10-29,43.01,45.96,42.22,45.58,773298347.0,18268887434.0
Terra,LUNA,2021-10-28,39.9,43.68,39.65,42.96,926270556.0,17234134472.0
Terra,LUNA,2021-10-27,43.85,44.88,38.54,39.87,1397247761.0,16009771501.0
Terra,LUNA,2021-10-26,42.76,46.91,42.76,43.87,1258425599.0,17595213093.0
Terra,LUNA,2021-10-25,41.41,43.77,41.23,42.79,754871874.0,17169878348.0
Terra,LUNA,2021-10-24,43.19,43.56,39.95,41.48,709523190.0,16651413285.0
Terra,LUNA,2021-10-23,43.7,44.04,41.58,43.19,838316867.0,17337793703.0
Terra,LUNA,2021-10-22,40.95,45.48,40.91,43.62,1745307758.0,17515686438.0
Terra,LUNA,2021-10-21,42.59,43.62,39.31,40.91,1458679342.0,16426274266.0
Terra,LUNA,2021-10-20,37.71,43.96,37.71,42.55,1427182894.0,17105262479.0
Terra,LUNA,2021-10-19,35.81,38.36,35.59,37.73,640136051.0,15162722248.0
Terra,LUNA,2021-10-18,36.16,37.32,35.34,35.82,555343720.0,14393005951.0
Terra,LUNA,2021-10-17,36.6,37.39,35.04,36.19,550171058.0,14544589781.0
Terra,LUNA,2021-10-16,36.97,38.4,36.26,36.59,547860557.0,14707016574.0
Terra,LUNA,2021-10-15,37.16,37.96,35.81,36.95,921371631.0,14847934197.0
Terra,LUNA,2021-10-14,36.59,39.73,36.14,37.15,1040303496.0,14929258214.0
