currency,ticker,date,open_price,high,low,close_price,volume,market_cap
Tether,USDT,2022-02-26,1.0,1.0,1.0,1.0,46708690534.0,79571654148.0
Tether,USDT,2022-02-25,1.0,1.0,1.0,1.0,66025345539.0,79521157340.0
Tether,USDT,2022-02-24,1.0,1.0,1.0,1.0,107952010250.0,79525180253.0
Tether,USDT,2022-02-23,1.0,1.0,1.0,1.0,54845607157.0,79454771411.0
Tether,USDT,2022-02-22,1.0,1.0,1.0,1.0,60539262856.0,79410542602.0
Tether,USDT,2022-02-21,1.0,1.0,1.0,1.0,72043746349.0,79085306875.0
Tether,USDT,2022-02-20,1.0,1.0,1.0,1.0,45611091002.0,79051748941.0
Tether,USDT,2022-02-19,1.0,1.0,1.0,1.0,37278604791.0,79042970275.0
Tether,USDT,2022-02-18,1.0,1.0,1.0,1.0,52679060916.0,78738713001.0
Tether,USDT,2022-02-17,1.0,1.0,1.0,1.0,59426477844.0,78713531339.0
Tether,USDT,2022-02-16,1.0,1.0,1.0,1.0,48729582312.0,78672234450.0
Tether,USDT,2022-02-15,1.0,1.0,1.0,1.0,53542330209.0,78515924561.0
Tether,USDT,2022-02-14,1.0,1.0,1.0,1.0,48318327792.0,78499268283.0
Tether,USDT,2022-02-13,1.0,1.0,1.0,1.0,41277090178.0,78458775425.0
Tether,USDT,2022-02-12,1.0,1.0,1.0,1.0,49138854287.0,78470179414.0
Tether,USDT,2022-02-11,1.0,1.0,1.0,1.0,66753002645.0,78442064943.0
Tether,USDT,2022-02-10,1.0,1.0,1.0,1.0,77334791717.0,78091072165.0
Tether,USDT,2022-02-09,1.0,1.0,1.0,1.0,53386706331.0,77984817276.0
Tether,USDT,2022-02-08,1.0,1.0,1.0,1.0,72230569455.0,77971083989.0
Tether,USDT,2022-02-07,1.0,1.0,1.0,1.0,64635714287.0,77952000451.0
Tether,USDT,2022-02-06,1.0,1.0,1.0,1.0,40572292703.0,77961684799.0
Tether,USDT,2022-02-05,1.0,1.0,1.0,1.0,50686325002.0,77955111127.0
Tether,USDT,2022-02-04,1.0,1.0,1.0,1.0,59154422463.0,77998586948.0
Tether,USDT,2022-02-03,1.0,1.0,1.0,1.0,41979444063.0,77979777938.0
Tether,USDT,2022-02-02,1.0,1.0,1.0,1.0,44198324772.0,77970345723.0
Tether,USDT,2022-02-01,1.0,1.0,1.0,1.0,43193864245.0,78013631849.0
Tether,USDT,2022-01-31,1.0,1.0,1.0,1.0,45082693892.0,78158330893.0
Tether,USDT,2022-01-30,1.0,1.0,1.0,1.0,35043713256.0,78144090896.0
Tether,USDT,2022-01-29,1.0,1.0,1.0,1.0,39357192812.0,78141712212.0
Tether,USDT,2022-01-28,1.0,1.0,1.0,1.0,50688257403.0,78195565136.0
Tether,USDT,2022-01-27,1.0,1.0,1.0,1.0,53950927548.0,78219016112.0
Tether,USDT,2022-01-26,1.0,1.0,1.0,1.0,70750980627.0,78206885444.0
Tether,USDT,2022-01-25,1.0,1.0,1.0,1.0,58560287216.0,78204897226.0
Tether,USDT,2022-01-24,1.0,1.0,1.0,1.0,88845381041.0,78294417929.0
Tether,USDT,2022-01-23,1.0,1.0,1.0,1.0,57296666670.0,78350199962.0
Tether,USDT,2022-01-22,1.0,1.0,1.0,1.0,90441827607.0,78264128275.0
Tether,USDT,2022-01-21,1.0,1.0,1.0,1.0,86570105642.0,78288391850.0
Tether,USDT,2022-01-20,1.0,1.0,1.0,1.0,38591713522.0,78344671135.0
Tether,USDT,2022-01-19,1.0,1.0,1.0,1.0,50127231375.0,78352919536.0
Tether,USDT,2022-01-18,1.0,1.0,1.0,1.0,52799723207.0,78337429211.0
Tether,USDT,2022-01-17,1.0,1.0,1.0,1.0,51430977642.0,78428435742.0
Tether,USDT,2022-01-16,1.0,1.0,1.0,1.0,41551382127.0,78432253977.0
Tether,USDT,2022-01-15,1.0,1.0,1.0,1.0,41922988280.0,78449911429.0
Tether,USDT,2022-01-14,1.0,1.0,1.0,1.0,60503324000.0,78416520726.0
Tether,USDT,2022-01-13,1.0,1.0,1.0,1.0,63231903910.0,78428105054.0
Tether,USDT,2022-01-12,1.0,1.0,1.0,1.0,62300703831.0,78413876541.0
Tether,USDT,2022-01-11,1.0,1.0,1.0,1.0,59061400900.0,78307519117.0
Tether,USDT,2022-01-10,1.0,1.0,1.0,1.0,68455690767.0,78305814910.0
Tether,USDT,2022-01-09,1.0,1.0,1.0,1.0,49109221960.0,78312801194.0
Tether,USDT,2022-01-08,1.0,1.0,0.9999,1.0,62394894090.0,78300284653.0
Tether,USDT,2022-01-07,1.0,1.0,0.9998,1.0,82344370614.0,78445946782.0
