currency,ticker,date,open_price,high,low,close_price,volume,market_cap
USD Coin,USDC,2022-02-26,0.9999,1.0,0.9991,1.0,3262045031.0,53290419666.0
USD Coin,USDC,2022-02-25,0.9999,1.0,0.9993,0.9999,5563465156.0,53268559752.0
USD Coin,USDC,2022-02-24,0.9995,1.0,0.9988,1.0,9044960990.0,53126695517.0
USD Coin,USDC,2022-02-23,1.0,1.0,0.9989,0.9995,4088593001.0,52797597466.0
USD Coin,USDC,2022-02-22,0.9994,1.0,0.9988,1.0,4311028906.0,52724134665.0
USD Coin,USDC,2022-02-21,1.0,1.0,0.9988,0.9993,5035066514.0,52570580877.0
USD Coin,USDC,2022-02-20,0.9999,1.0,0.9989,1.0,2869319070.0,52596647718.0
USD Coin,USDC,2022-02-19,0.9997,1.0,0.999,0.9999,2094832701.0,52611021921.0
USD Coin,USDC,2022-02-18,0.9994,1.0,0.9989,0.9998,3506445548.0,52527599037.0
USD Coin,USDC,2022-02-17,0.9997,1.0,0.9989,0.9994,3964363431.0,52549613920.0
USD Coin,USDC,2022-02-16,0.9996,1.0,0.9989,0.9998,3231224663.0,52610584516.0
USD Coin,USDC,2022-02-15,0.9993,1.0,0.9989,0.9996,3303759191.0,52510487683.0
USD Coin,USDC,2022-02-14,1.0,1.0,0.999,0.9994,2963505590.0,52442248486.0
USD Coin,USDC,2022-02-13,1.0,1.0,0.9988,1.0,2123450728.0,52360369755.0
USD Coin,USDC,2022-02-12,0.9994,1.0,0.9988,1.0,2817156195.0,52312479507.0
USD Coin,USDC,2022-02-11,1.0,1.0,0.9987,0.9994,4014217487.0,52218551392.0
USD Coin,USDC,2022-02-10,0.9996,1.0,0.9989,1.0,4195499895.0,52130795965.0
USD Coin,USDC,2022-02-09,0.9991,1.0,0.999,0.9996,2902479207.0,51825713831.0
USD Coin,USDC,2022-02-08,0.9991,1.0,0.998,0.9992,3736950599.0,51563153536.0
USD Coin,USDC,2022-02-07,1.0,1.0,0.999,0.999,3534437072.0,51290055120.0
USD Coin,USDC,2022-02-06,1.0,1.0,0.999,1.0,2185135025.0,51054224335.0
USD Coin,USDC,2022-02-05,0.9996,1.0,0.9989,1.0,5767688766.0,51039228858.0
USD Coin,USDC,2022-02-04,1.0,1.0,0.9992,0.9995,5446795900.0,50870604118.0
USD Coin,USDC,2022-02-03,0.9999,1.0,0.9991,1.0,2639131315.0,50820489157.0
USD Coin,USDC,2022-02-02,0.9997,1.0,0.9992,1.0,2735917325.0,50428692188.0
USD Coin,USDC,2022-02-01,0.9995,1.0,0.9991,0.9997,3093316095.0,50069388439.0
USD Coin,USDC,2022-01-31,1.0,1.0,0.9991,0.9995,2977541960.0,49848162626.0
USD Coin,USDC,2022-01-30,1.0,1.0,0.9992,1.0,2333906963.0,49800880429.0
USD Coin,USDC,2022-01-29,1.0,1.0,0.9984,0.9995,2941069881.0,49739175193.0
USD Coin,USDC,2022-01-28,0.9997,1.0,0.999,0.9997,4809047239.0,49645733199.0
USD Coin,USDC,2022-01-27,0.9999,1.0,0.9989,0.9998,5023632111.0,49373594427.0
USD Coin,USDC,2022-01-26,1.0,1.0,0.9981,0.9989,5195373046.0,49632437388.0
USD Coin,USDC,2022-01-25,1.0,1.0,0.9983,1.0,4146328235.0,48579858785.0
USD Coin,USDC,2022-01-24,1.0,1.0,0.9991,1.0,7468827146.0,48058913063.0
USD Coin,USDC,2022-01-23,1.0,1.0,0.9991,1.0,4572234577.0,47651385219.0
USD Coin,USDC,2022-01-22,1.0,1.0,0.999,1.0,6945199430.0,43264434004.0
USD Coin,USDC,2022-01-21,1.0,1.0,0.999,1.0,7940219543.0,42797813924.0
USD Coin,USDC,2022-01-20,1.0,1.0,0.9989,1.0,3125580294.0,46367978527.0
USD Coin,USDC,2022-01-19,1.0,1.0,0.9991,1.0,3239858099.0,46051186883.0
USD Coin,USDC,2022-01-18,0.9997,1.0,0.9992,1.0,3223501722.0,45737305225.0
USD Coin,USDC,2022-01-17,0.9997,1.0,0.9992,0.9997,3025152126.0,45483737542.0
USD Coin,USDC,2022-01-16,0.9995,1.0,0.9991,0.9997,2296999988.0,45434277768.0
USD Coin,USDC,2022-01-15,1.0,1.0,0.9991,0.9995,2837817560.0,45273082061.0
USD Coin,USDC,2022-01-14,0.9991,1.0,0.9991,1.0,4005995393.0,45171641830.0
USD Coin,USDC,2022-01-13,0.9998,1.0,0.999,0.999,3601566982.0,44946411341.0
USD Coin,USDC,2022-01-12,1.0,1.0,0.9992,0.9998,3486307844.0,44631425711.0
USD Coin,USDC,2022-01-11,1.0,1.0,0.9991,1.0,3645526457.0,44101728591.0
USD Coin,USDC,2022-01-10,0.9998,1.0,0.9993,1.0,4659945891.0,43821519567.0
USD Coin,USDC,2022-01-09,0.9995,1.0,0.9995,0.9998,2921877299.0,43635467097.0
USD Coin,USDC,2022-01-08,1.0,1.0,0.9995,0.9995,4278836552.0,43501587470.0
USD Coin,USDC,2022-01-07,0.9995,1.0,0.9994,1.0,4710183601.0,39702380217.0
USD Coin,USDC,2022-01-06,0.9998,1.0,0.9993,0.9996,4569272674.0,43076362784.0
USD Coin,USDC,2022-01-05,1.0,1.0,0.9993,0.9998,4834405737.0,42744624583.0
USD Coin,USDC,2022-01-04,0.9998,1.0,0.9991,1.0,3450318436.0,42619659434.0
USD Coin,USDC,2022-01-03,0.9998,1.0,0.9994,0.9997,2979943098.0,42567699046.0
USD Coin,USDC,2022-01-02,1.0,1.0,0.9993,0.9998,2491554185.0,42562534941.0
USD Coin,USDC,2022-01-01,1.0,1.0,0.9992,1.0,2655459065.0,42454938452.0
USD Coin,USDC,2021-12-31,1.0,1.0,0.9992,1.0,3283686715.0,42167723553.0
USD Coin,USDC,2021-12-30,0.9996,1.0,0.9981,1.0,3137476099.0,42315722030.0
USD Coin,USDC,2021-12-29,1.0,1.0,0.9982,0.9995,3506506629.0,42116774929.0
USD Coin,USDC,2021-12-28,0.9996,1.0,0.9982,1.0,4171719361.0,42130122777.0
USD Coin,USDC,2021-12-27,0.9992,1.0,0.998,0.9996,2793491169.0,42113330114.0
USD Coin,USDC,2021-12-26,0.9998,1.0,0.998,0.9991,2674907883.0,42392023711.0
