currency,ticker,date,open_price,high,low,close_price,volume,market_cap
Wrapped Bitcoin,WBTC,"Feb 26, 2022","$39,236.82","$39,863.65","$38,818.91","$39,068.00","$149,601,888","$10,265,593,124"
Wrapped Bitcoin,WBTC,"Feb 25, 2022","$38,277.17","$39,508.94","$38,203.45","$39,243.11","$325,327,024","$10,311,605,735"
Wrapped Bitcoin,WBTC,"Feb 24, 2022","$37,256.68","$38,759.47","$34,573.51","$38,276.02","$461,473,124","$10,072,801,562"
Wrapped Bitcoin,WBTC,"Feb 23, 2022","$38,231.15","$39,082.69","$37,230.61","$37,260.75","$150,897,606","$9,805,622,367"
Wrapped Bitcoin,WBTC,"Feb 22, 2022","$37,089.52","$38,264.43","$36,545.87","$38,230.69","$188,206,786","$10,060,873,033"
Wrapped Bitcoin,WBTC,"Feb 21, 2022","$38,443.00","$39,341.67","$37,083.29","$37,093.19","$238,746,815","$9,761,526,612"
Wrapped Bitcoin,WBTC,"Feb 20, 2022","$40,100.20","$40,100.20","$38,097.21","$38,448.36","$164,248,424","$10,106,626,969"
Wrapped Bitcoin,WBTC,"Feb 19, 2022","$40,043.06","$40,333.50","$39,678.90","$40,102.14","$147,435,904","$10,541,343,801"
Wrapped Bitcoin,WBTC,"Feb 18, 2022","$40,571.36","$40,899.83","$39,745.88","$40,044.78","$213,626,475","$10,526,266,464"
Wrapped Bitcoin,WBTC,"Feb 17, 2022","$43,943.60","$44,112.31","$40,379.36","$40,577.99","$236,860,307","$10,648,175,691"
Wrapped Bitcoin,WBTC,"Feb 16, 2022","$44,481.52","$44,485.85","$43,481.78","$43,958.51","$151,888,435","$11,535,264,828"
Wrapped Bitcoin,WBTC,"Feb 15, 2022","$42,562.53","$44,525.71","$42,484.13","$44,474.17","$180,344,414","$11,670,580,778"
Wrapped Bitcoin,WBTC,"Feb 14, 2022","$42,177.49","$42,671.14","$41,685.44","$42,564.40","$132,550,374","$11,148,228,250"
Wrapped Bitcoin,WBTC,"Feb 13, 2022","$42,142.56","$42,577.14","$41,944.58","$42,211.69","$94,554,589","$11,055,847,797"
Wrapped Bitcoin,WBTC,"Feb 12, 2022","$42,373.58","$42,813.42","$41,850.12","$42,142.63","$170,972,620","$11,037,758,555"
Wrapped Bitcoin,WBTC,"Feb 11, 2022","$43,525.04","$43,701.90","$42,091.20","$42,370.73","$189,603,988","$11,097,501,476"
Wrapped Bitcoin,WBTC,"Feb 10, 2022","$44,409.31","$45,382.73","$43,381.39","$43,520.99","$244,787,443","$11,398,771,034"
Wrapped Bitcoin,WBTC,"Feb 09, 2022","$44,075.64","$44,716.61","$43,349.12","$44,407.04","$172,962,179","$11,630,841,187"
Wrapped Bitcoin,WBTC,"Feb 08, 2022","$43,859.81","$44,917.63","$42,915.90","$44,084.83","$231,767,678","$11,531,028,545"
Wrapped Bitcoin,WBTC,"Feb 07, 2022","$42,245.45","$44,106.43","$41,797.29","$43,848.54","$227,529,924","$11,469,223,525"
Wrapped Bitcoin,WBTC,"Feb 06, 2022","$41,466.96","$42,266.09","$41,255.13","$42,249.07","$163,994,478","$11,067,758,774"
Wrapped Bitcoin,WBTC,"Feb 05, 2022","$41,194.86","$41,736.77","$41,095.32","$41,467.53","$195,340,097","$10,863,022,746"
Wrapped Bitcoin,WBTC,"Feb 04, 2022","$37,020.70","$41,203.78","$37,020.70","$41,192.44","$368,536,604","$10,790,959,162"
Wrapped Bitcoin,WBTC,"Feb 03, 2022","$36,994.43","$37,077.41","$36,411.39","$37,016.14","$275,875,868","$9,818,971,729"
Wrapped Bitcoin,WBTC,"Feb 02, 2022","$38,764.18","$38,818.80","$36,832.67","$36,993.67","$194,999,250","$9,905,420,278"
Wrapped Bitcoin,WBTC,"Feb 01, 2022","$38,468.21","$38,927.28","$38,243.38","$38,764.18","$215,314,649","$10,379,492,194"
Wrapped Bitcoin,WBTC,"Jan 31, 2022","$37,969.01","$38,584.53","$36,821.60","$38,464.19","$211,896,812","$10,299,167,242"
Wrapped Bitcoin,WBTC,"Jan 30, 2022","$38,147.70","$38,241.43","$37,535.85","$37,961.94","$178,474,809","$10,297,443,985"
Wrapped Bitcoin,WBTC,"Jan 29, 2022","$37,825.09","$38,549.76","$37,444.89","$38,143.35","$162,554,674","$10,346,654,311"
Wrapped Bitcoin,WBTC,"Jan 28, 2022","$36,994.42","$37,951.92","$36,258.65","$37,831.42","$224,388,149","$10,262,041,479"
Wrapped Bitcoin,WBTC,"Jan 27, 2022","$36,810.02","$37,021.15","$35,623.52","$36,999.64","$258,175,209","$10,036,414,008"
Wrapped Bitcoin,WBTC,"Jan 26, 2022","$36,963.57","$38,652.84","$36,443.98","$36,820.75","$297,082,836","$9,987,889,193"
Wrapped Bitcoin,WBTC,"Jan 25, 2022","$36,672.36","$37,422.39","$35,831.28","$36,965.53","$218,617,436","$10,027,163,100"
Wrapped Bitcoin,WBTC,"Jan 24, 2022","$36,277.93","$37,067.23","$33,243.83","$36,672.01","$593,140,861","$9,934,714,890"
Wrapped Bitcoin,WBTC,"Jan 23, 2022","$35,027.47","$36,336.08","$34,824.71","$36,278.64","$276,340,415","$9,815,456,851"
Wrapped Bitcoin,WBTC,"Jan 22, 2022","$36,463.13","$36,669.60","$34,462.22","$35,018.86","$556,866,971","$9,474,614,069"
Wrapped Bitcoin,WBTC,"Jan 21, 2022","$40,836.83","$40,963.21","$35,871.76","$36,460.80","$479,161,556","$9,617,748,043"
Wrapped Bitcoin,WBTC,"Jan 20, 2022","$41,725.56","$43,346.61","$40,826.35","$40,832.67","$206,093,290","$10,770,972,995"
Wrapped Bitcoin,WBTC,"Jan 19, 2022","$42,322.88","$42,388.33","$41,275.49","$41,716.43","$257,350,660","$11,004,092,825"
