currency,ticker,date,open_price,high,low,close_price,volume,market_cap
XRP,XRP,2022-02-26,0.7686,0.7882,0.7436,0.751,3051695701.0,36008637870.0
XRP,XRP,2022-02-25,0.6963,0.7689,0.6858,0.7689,3460713330.0,36868338077.0
XRP,XRP,2022-02-24,0.6986,0.7129,0.6271,0.6963,5146799150.0,33385746487.0
XRP,XRP,2022-02-23,0.7229,0.7389,0.6963,0.6987,2690184820.0,33504378574.0
XRP,XRP,2022-02-22,0.7033,0.7252,0.6788,0.7228,3539593096.0,34659333456.0
XRP,XRP,2022-02-21,0.7782,0.7997,0.702,0.7035,3580522306.0,33730672760.0
XRP,XRP,2022-02-20,0.8225,0.8227,0.77,0.7783,3041836889.0,37318724163.0
XRP,XRP,2022-02-19,0.7859,0.8498,0.7736,0.8225,3325442943.0,39439647397.0
XRP,XRP,2022-02-18,0.7673,0.8039,0.7603,0.7859,2913093056.0,37682867753.0
XRP,XRP,2022-02-17,0.8387,0.8441,0.7582,0.7672,2798023719.0,36785413824.0
XRP,XRP,2022-02-16,0.8524,0.8524,0.8131,0.839,2165008058.0,40180105122.0
XRP,XRP,2022-02-15,0.8022,0.8559,0.7983,0.8523,2249706300.0,40816850707.0
XRP,XRP,2022-02-14,0.8099,0.8105,0.7826,0.8022,2401300497.0,38372052719.0
XRP,XRP,2022-02-13,0.8222,0.8443,0.7963,0.8103,2504198747.0,38757348317.0
XRP,XRP,2022-02-12,0.7602,0.8488,0.753,0.8224,3457258389.0,39337817275.0
XRP,XRP,2022-02-11,0.8299,0.8299,0.7543,0.7602,3346204748.0,36363472398.0
XRP,XRP,2022-02-10,0.8709,0.8946,0.8299,0.83,3535002566.0,39701428233.0
XRP,XRP,2022-02-09,0.8775,0.9091,0.8474,0.8706,3760269362.0,41644223972.0
XRP,XRP,2022-02-08,0.8284,0.9111,0.8062,0.8782,6159382645.0,42006172833.0
XRP,XRP,2022-02-07,0.6836,0.8342,0.6744,0.8278,4197403037.0,39596604271.0
XRP,XRP,2022-02-06,0.6671,0.6852,0.6623,0.6836,1095140341.0,32700536071.0
XRP,XRP,2022-02-05,0.6558,0.6837,0.6523,0.6671,1760389771.0,31910303814.0
XRP,XRP,2022-02-04,0.6076,0.6565,0.6052,0.6559,1543180484.0,31372230240.0
